id,handle,created_at,text
1514966491103633413,AnantoMusic1,2022-04-15 13:58:52+00:00,"I am claiming my free Lightning sats from @_bitcoiner's zesty faucet! ⚡

@boltcoiner unlock me 32ed527c-4104-42b0-bf24-5b43ea98896b

#Bitcoin #BTC #LN #LightningNetwork #boltcoiner
https://t.co/ZUyuYMGzZp"
1514966489530617856,AltcoinFGI,2022-04-15 13:58:52+00:00,"@BTCTN Our analytical team has done a detailed analysis regarding #BTC, and its Fear and Greed Index is 50 - NEUTRAL at the moment with price of 40205.748316863658 usd, so what do you think about the current #Bitcoin state?"
1514966488339599363,EvaFox06729176,2022-04-15 13:58:52+00:00,"Full thanks to @Tradeosiann as they have analysed this #Bitcoin crash so my funds doesn't affected and I have not faced any type of losses 
They are absolutely amazing in tips,advices and everything 😌 $PYR $REN $KEY $TRB #Binance o"
1514966484144967680,Buildionaire808,2022-04-15 13:58:51+00:00,Invest in crypto #Bitcoin #BTC #KTO #Coinbase #altcoins #BitcoinButton #crypto https://t.co/pkI0JAGbRU
1514966481385099265,TomaszBednarsk4,2022-04-15 13:58:50+00:00,"@Koolaid_crypto #bitcoin Need to re-analyse the market to see if and when the next entries will be. 

But looks to me like bulls have full control. I usually trade to be much more useful lately 

I’ve been taking @Tz4hol tweets and tips seriously and I’ve been doing extremely good
Follow her"
1514966472056991749,CryptoAmelia1,2022-04-15 13:58:48+00:00,"Full thanks to @Tradeosiann as they have analysed this #Bitcoin crash so my funds doesn't affected and I have not faced any type of losses 
They are absolutely amazing in tips,advices and everything 😌 $PYR $REN $KEY $TRB #Binance ,p"
1514966469829963785,creators_oracle,2022-04-15 13:58:47+00:00,"@renoomokri Earn free Bitcoin through mining. It cost nothing than your phone and data. And open the app at least once per 24hrs and claim your blocks.
https://t.co/Nk0SJ6GQww https://t.co/nbTMe593g2"
1514966464322752525,Elizabeth__Gary,2022-04-15 13:58:46+00:00,"Are you interested in binary option trade/ bitcoin investment, While investing without any positive results?? Invest with a trusted account manager and get a better return in 7 days time , 
All weekly profits are 100% guaranteed .(payout is assured)
#Bitcoin #investing #crypto"
1514966464071143436,coinfomania,2022-04-15 13:58:46+00:00,@saylor Anyway is a good day to buy #bitcoin
1514966461844017163,ShillSmith_,2022-04-15 13:58:45+00:00,Bitcoin maxis are the vegans of crypto
1514966458639568905,Harbolarjii,2022-04-15 13:58:45+00:00,"DID YOU KNOW?

IF MAN UNITED BOUGHT £80m OF BITCOIN IN 2019 INSTEAD OF MAGUIRE, THEY WOULD HAVE £868.5M RIGHT NOW.

#MaguireOut"
1514966449139458051,jamesviggy,2022-04-15 13:58:42+00:00,🌊 El Zonte Bitcoin Beach ⛱️ https://t.co/kwIWCv8ws5
1514966445658034176,HadiHos65287736,2022-04-15 13:58:42+00:00,"@Forbes #BlueSparrow is a bridge between the stock market and crypto .. You will have both in the Blue Sparrow CEX
#BlueBit  😍😍😍😍
#web3
#Metaverse 
#Bitcoin  #NFT
#BlueSparrowCEX 🤩🤩 gbs

https://t.co/R7y8iP4Bkj"
1514966440700432392,Emanuel53163564,2022-04-15 13:58:40+00:00,"basically Bitcoin is a pyramid scheme backed up by blockchain technology which makes it possible to store value in it effectively and democratically. 
If the words pyramid scheme makes you cringe that's good. but consider this, isn't life reliant on bringing new generations too?"
1514966436904640515,MCStaker,2022-04-15 13:58:39+00:00,"🔥🔥2 MINUTES LEFT TO LAUNCH🔥🔥
🔥🔥2 MINUTES LEFT TO LAUNCH🔥🔥
🔥🔥2 MINUTES LEFT TO LAUNCH🔥🔥
🔥🔥2 MINUTES LEFT TO LAUNCH🔥🔥

#AVAX #FTM  #ONE #HarmonyONE #Harmony #crypto #avalanche #matic #bnb #bitcoin #ethereum #Doge #crypto #DeFi #cryptocurrecy #CryptoNews"
1514966436816449538,CryptoAmelia1,2022-04-15 13:58:39+00:00,"Full thanks to @Tradeosiann as they have analysed this #Bitcoin crash so my funds doesn't affected and I have not faced any type of losses 
They are absolutely amazing in tips,advices and everything 😌 $PYR $REN $KEY $TRB #Binance ,o"
1514966433486479362,EvaFox06729176,2022-04-15 13:58:39+00:00,"Full thanks to @Tradeosiann as they have analysed this #Bitcoin crash so my funds doesn't affected and I have not faced any type of losses 
They are absolutely amazing in tips,advices and everything 😌 $PYR $REN $KEY $TRB #Binance i"
1514966433054273538,OKIronMan4,2022-04-15 13:58:39+00:00,@GRDecter Texas ranks 2nd in the nation for solar generation and has one of the most open and competitive energy markets. The Enron legacy may be a free market for energy that BOOST renewables and Bitcoin.
1514966424460173317,Peter21945805,2022-04-15 13:58:36+00:00,@yangyan84481296 Bitcoin is not an investment it's just speculation that 'number go up'
1514966423973543941,CryptoRay123,2022-04-15 13:58:36+00:00,@natbrunell @saylor Let’s change his name from Michael @saylor to Michael Stealer 😂. Happy Friday for all!! #Bitcoin 🚀🧡🍊💊
1514966413793923078,Crypto_News_Top,2022-04-15 13:58:34+00:00,Global Supply Chain Logistics Company Flexport Has Bitcoin On Their Balance Sheet https://t.co/HSh3iD4ebd #news
1514966407477436423,defidrop,2022-04-15 13:58:32+00:00,"@LFG_org @stablekwon plan to buy at least $10B in BTC as the UST money supply grows, they have already purchased over 42K bitcoin to back their stablecoin.

Track their reserves with @LFG_Reserve"
1514966407368171520,CryptoAmelia1,2022-04-15 13:58:32+00:00,"Full thanks to @Tradeosiann as they have analysed this #Bitcoin crash so my funds doesn't affected and I have not faced any type of losses 
They are absolutely amazing in tips,advices and everything 😌 $PYR $REN $KEY $TRB #Binance ,i"
1514966404461604864,Cryptohunk888,2022-04-15 13:58:32+00:00,#Bitcoin will be added to #Metamask
1514966402545123332,vandersenflines,2022-04-15 13:58:31+00:00,"From 11 April - 14 April 2022, there are 36.037 worth of #Bitcoin has been transferred out from exchanges.

Did you know about the law of supply and demand? https://t.co/SWMg93cidm"
1514966397717254145,diamondhandsint,2022-04-15 13:58:30+00:00,"The US and Europe Can't Regulate #Crypto Alone - Global adoptions makes regulating #cryptocurrency inside national siloes futile. 🚨👀🐂📈💹
#cryptotrading #bitcoin #altcoins"
1514966393224978438,TomaszBednarsk4,2022-04-15 13:58:29+00:00,"@AlexEmidio7 #bitcoin Need to re-analyse the market to see if and when the next entries will be. 

But looks to me like bulls have full control. I usually trade to be much more useful lately 

I’ve been taking @Tz4hol tweets and tips seriously and I’ve been doing extremely good
Follow her"
1514966383997878276,Singapore_HODL,2022-04-15 13:58:27+00:00,"@lopp Shitcoins dilute each other, not Bitcoin"
1514966378440179717,oyxoyxitxir,2022-04-15 13:58:25+00:00,@btctrek Bitcoin will not reward you until you have hodled through at least a 60% drawdown.
