id,handle,created_at,text
1514966725846081544,cotti_fi,2022-04-15 13:59:48+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/iwB5S9zkr3"
1514966721043791882,Mosquito_1412,2022-04-15 13:59:47+00:00,@losslessdefi @ethereum Congrats to $LSS🚀🚀🚀
1514966709689585680,JunkoSu22993224,2022-04-15 13:59:44+00:00,A story about Ethereum MEV Mafia sending out bad guys to rob ordinary citizens of their money. https://t.co/VMrDxyrPnM
1514966706312994819,TheTortoiseMag,2022-04-15 13:59:44+00:00,"This is a world of architecture museums exhibiting corporate-curated sex-dolls, 'worn' BLM protest shirts, maternity breast-pumps, 'green' Ethereum blockchain transactions, Nintendo and Nike 'domestic-life' items, 900k student-debt photo exhibitions, and Netflix documentaries."
1514966699845595136,cotti_fi,2022-04-15 13:59:42+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/6SZInW9YE2"
1514966698226745350,abdulla9247,2022-04-15 13:59:42+00:00,"#DeFi #ethax #ethaxcrypto #ethaxtoken #DEX #cryptocurrency #Ethereum #BinanceSmartChain #Bitcoin The project is very serious and reliable for investment. The company has already implemented many successful projects around the world.The project is elegant, strong and quality."
1514966690563604481,bitcoingraph,2022-04-15 13:59:40+00:00,[BTCUSDT - WEEK] #BTC #BTCUSDT #BINANCE #BTCUSD #CRYPTO #BITFINEX #BITCOINGRAPHIC #OKEX #ETH #ETHEREUM #ETHUSDT #CHZUSDT https://t.co/0E9A9Y0hQW
1514966686625116163,CryptoSynthetic,2022-04-15 13:59:39+00:00,"@WhaleEverything I'm staking up $SYLO now especially when @coinbase announced it amongst the possible crypto to be listed on its exchange. 

That's not all, I'm stacking it up so I can run node when it becomes incentivised as it's now on @CENNZnet which offers cheap gas fee unlike #Ethereum"
1514966678731374597,cotti_fi,2022-04-15 13:59:37+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/kCTSRokaWG"
1514966660012253186,Soriii718762441,2022-04-15 13:59:33+00:00,"@Cheemacrypto @dio_ianakiara @StarlinkInu @cz_binance @davidgokhshtein If you don't know how big this can be, then you better follow us because we are going places that you've never seen! @StarlinkInu 

#StarlinkInu #CRORewards #TheFirst #nft #nftart #nftcommunity  #nftartist #cryptoart #digitalart #crypto #ethereum #blockchain #opensea 💢💯🤡💯"
1514966653783748609,RobinTrevor1,2022-04-15 13:59:31+00:00,@CryptoGucci I won't introduce Ethereum even to my Enemy in the wildest case. Cause I for one don't want to take a curse of ruining someone's wealth and life by just burning in fee. Already people are ridiculing if we talk abt it. Time will make the world smarter sooner.
1514966650994716678,cotti_fi,2022-04-15 13:59:30+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/MkFRs8NukZ"
1514966638801698817,BrumaCrypto,2022-04-15 13:59:28+00:00,@coinbureau These NFTs must be as good as Ethereum Max. Most likely it will be the same idiot buying them
1514966621818826754,SotonAhamed5,2022-04-15 13:59:24+00:00,@EthaxCrypto #ethaxcrypto #ethaxtoken #DEX #cryptocurrency #Ethereum #BSC #Bitcoin I am very excited for this project. this project later when launching will be a lot of its enthusiasts because this project has a solid team structure and trusted.
1514966602630012928,cotti_fi,2022-04-15 13:59:19+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/R3ORTl8ger"
1514966599056326657,MistArtworks,2022-04-15 13:59:18+00:00,Sad truth : The Dapps running on ethereum isn't fully Decentralised :/
1514966598318268417,Ethereum_Hourly,2022-04-15 13:59:18+00:00,"Current #Ethereum Price: $3,024.07 📈"
1514966591804526593,LivePriceCrypto,2022-04-15 13:59:16+00:00,"#Bitcoin Last Price $40030 #BTC 🚀
Daily Indicators:
RSI: 39.6
MA(20): 43952
MA(50): 42094
MA(200): 48144
Bollinger B. lower/upper: 38485/49419

#Ethereum Last $3006 #ETH
RSI: 44.3
MA(20): 3262
MA(50): 2975
MA(200): 3491
BB: 2927/3598

DM for project price!
#Crypto #Live

34854"
1514966574372954118,Rebacca7654,2022-04-15 13:59:12+00:00,"@Thecryptomist Look into this bullish project MetalBackedMoney that runs on ethereum block chain technology which also enables liquidity, financial leverage and decentralized transactions"
1514966567108456462,cotti_fi,2022-04-15 13:59:10+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/IU8ZwnO4Ui"
1514966545642188801,ShreeHQ,2022-04-15 13:59:05+00:00,"Shree Coin's compatibility alongside Ethereum is unparalleled by any other crypto project. 💪

Shree Coin stands at forefront of the blockchain innovation.
💥⚡️
__
To Know more about Shree Coin and its various applications in the crypto ecosystem visit: https://t.co/mshrIrnf6n https://t.co/t5E32rhdKh"
1514966542185865216,cotti_fi,2022-04-15 13:59:05+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/Cq1cVZYoH4"
1514966538268389382,JohnFcarter14,2022-04-15 13:59:04+00:00,Some thoughts I posted over the weekend on how to offset the deliberate imploding purchasing power of the dollar and all major currencies.  $DXY $GC #Bitcoin  #Ethereum
1514966535735025671,KARTHIKs_nft,2022-04-15 13:59:03+00:00,@Dix_eth https://t.co/PqJyW0kYw7. Music art vs war by karthik
1514966527526719491,MCStaker,2022-04-15 13:59:01+00:00,"🔥🔥1 MINUTE LEFT TO LAUNCH🔥🔥
🔥🔥1 MINUTE LEFT TO LAUNCH🔥🔥
🔥🔥1 MINUTE LEFT TO LAUNCH🔥🔥
🔥🔥1 MINUTE LEFT TO LAUNCH🔥🔥

#AVAX #FTM  #ONE #HarmonyONE #Harmony #crypto #avalanche #matic #bnb #bitcoin #ethereum #Doge #crypto #DeFi #cryptocurrecy #CryptoNews"
1514966522896261125,URECOMM,2022-04-15 13:59:00+00:00,"Best Ethereum Casino Sites Online for ETH Casino Games, Bonuses &amp; More | Branded Voices https://t.co/ddQuKTObPx"
1514966522183262210,alexoncrypto,2022-04-15 13:59:00+00:00,"The evolution of #Ethereum is inevitable, planned and ever-continuing."
1514966519666647047,cotti_fi,2022-04-15 13:58:59+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/kE7IsNJmtN"
1514966508396593164,Creeper68308217,2022-04-15 13:58:56+00:00,"I've just created ""Dragon blue"" collectible! https://t.co/eseyX7WcZ2 #rarible #ethereum #nonfungible #digitalasset #nft via @rarible"
1514966498233749508,cotti_fi,2022-04-15 13:58:54+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/4th5F8oToD"
1514966485319696385,tastedsour,2022-04-15 13:58:51+00:00,Requesting faucet funds into 0xeb4b1af3580551F7AcCFF1f847b9886882Fff0Ae on the #Rinkeby #Ethereum test network.
1514966477157322761,cotti_fi,2022-04-15 13:58:49+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/AAScsve1NJ"
