term,frequency
bitcoin,24.415607168735452
btc,11.027097382017503
crypto,10.396216432323312
market,7.966972254175575
ive,7.024686681612679
project,5.713357819672529
like,5.490918266319646
ethereum,5.489854900864828
buy,5.473024193883906
saylor,5.435606379009664
dont,5.396515110544822
one,5.353558780760666
wallet,5.290916677979873
boltcoiner,5.2172069213434344
price,4.535532044761582
tweets,4.461817191405985
unknown,4.3765200041581815
extremely,4.375971574071573
earn,4.276722338880842
cryptocurrency,4.228643400988613
get,4.215538508899953
mining,4.204286838633917
minutes,4.165541591547555
elonmusk,4.1538051853638756
full,4.103140376748735
last,3.8852560978780954
left,3.8805342490667365
free,3.7977011777753082
need,3.749682541209849
amp,3.7290049534355454
best,3.655665796794497
people,3.6241854939127998
much,3.5479603963596995
team,3.523366823648643
seriously,3.4319750959519477
time,3.4079907140768158
think,3.2260250090546365
im,3.2113966939616074
new,3.207614805676365
next,3.1725207047520816
eth,3.1561097045078115
trade,3.125828836331459
looks,3.111658354241033
see,3.1079166773140834
ready,3.105830277396002
money,3.103325769904422
good,3.101979522027342
blockchain,3.0987986565912418
nft,3.0859916265912317
bulls,3.0758923104696185
investment,3.0439475091315003
go,3.0433600685511597
supply,2.9918630362937164
rise,2.943416697145179
useful,2.93184747518227
would,2.9096365975472094
control,2.8274002679449852
tips,2.8274002679449852
tz4hol,2.8274002679449852
reanalyse,2.8274002679449852
taking,2.8274002679449852
entries,2.8274002679449852
lately,2.8274002679449852
goodfollow,2.8274002679449852
usually,2.8274002679449852
lightning,2.8176931995615973
xrp,2.8169444455973496
10,2.7906276470336815
trading,2.779849294659286
aiko,2.7586833194797515
binance,2.7219358010725587
high,2.7194749276388857
sats,2.7103186850741388
bearish,2.689058436976915
great,2.656936457481089
near,2.650559516912948
invest,2.6334053735944907
ln,2.6086034606717172
lightningnetwork,2.6086034606717172
unlock,2.6086034606717172
faucet,2.6086034606717172
zesty,2.6086034606717172
day,2.5885417813167244
ethaxcrypto,2.586991029004585
usd,2.539646975618755
spot,2.524489482325145
without,2.51709545845564
shodainme_,2.4946501336084914
aikonft,2.4946501336084914
aikoshades,2.4946501336084914
accurate,2.4897687855631534
long,2.4766045181369187
move,2.4424781546923935
