term,frequency
bnb,21.53939273382486
binance,14.057868437789848
aircash,12.257853287050162
bsc,11.197742053578821
btc,10.976314930857976
cryptocurrency,10.015302562162988
luxy_io,9.457703618338108
chitaglorya__,9.457703618338108
bull_bnb,9.457703618338108
crypto,8.879808734344522
aircoindaolabs,8.759170825816055
airchain,8.759170825816055
aircoin,8.703511406011112
airswap,8.698490388912047
project,8.612429533941363
nft,8.53295294129561
done,8.406103635998829
wallet,8.212652594280982
buy,7.347702642225299
get,7.132740024781587
eth,6.445240567129715
learn,6.301147793647155
currency,6.238139332962425
trading,6.110201923930383
decentralized,6.026105297493554
seconds,5.979247148641857
welcome,5.951119356699381
price,5.938552856480996
global,5.886700078262515
system,5.886700078262515
fiat,5.886700078262515
underway,5.886700078262515
conference,5.886700078262515
left,5.86635899026602
join,5.647957193245859
good,5.609108759070902
minutes,5.496464761062243
babycatcoin,5.082832574359604
coinbase,5.015024852852136
asset,4.884637149764362
ethereum,4.804414499661762
want,4.708951430245948
airdrop,4.640178861796119
defi,4.618469070040244
spaceairchain,4.5044903179259235
revolutionif,4.5044903179259235
pls,4.5044903179259235
know,4.5044903179259235
bscgems,4.232749832128745
trust,4.09138728137303
giveaway,4.057532546400129
bitcoin,3.9091270791941635
trustwallet,3.883210149949424
early,3.8435485981461563
binancesmartchain,3.8053075406425005
cym,3.788535957637341
cryptonews,3.765059806324868
today,3.6607340557127306
us,3.609952925420657
blockchain,3.5031300851169096
matic,3.334322018829405
doge,3.3142936529914175
amp,3.3114516151757103
coming,3.257888284492476
team,3.168084266376846
mina,3.1557589742416923
y360,3.0828528036222944
sold,3.0822251560293745
pentas,3.0452155709437276
marketplace,3.0045786785117192
cylumfinance,2.9685540823961287
sod,2.9514194255590813
meme,2.946369870608742
great,2.896746411318437
nftproject,2.8909343537066556
account,2.817069355597294
metaverse,2.7832540599133617
p2e,2.7825523473631044
bscgem,2.7824354802170745
avax,2.7756538776994257
usd,2.767327762135608
another,2.6832864516198236
one,2.667992361333176
transaction,2.6336510468249124
bnbchain,2.6109436471490834
ftm,2.5988111479108067
comparison,2.567748410082774
x100,2.567748410082774
ufogaming,2.567748410082774
times,2.567748410082774
ufo,2.567748410082774
shiba,2.567748410082774
realize,2.567748410082774
sharpei,2.567748410082774
p2egames,2.567748410082774
shartoken,2.567748410082774
real,2.555028351414134
missed,2.529725997710761
kucingpunk,2.528494635475766
name,2.528494635475766
top,2.5206801083508936
avalanche,2.5010246148675908
make,2.4899213301859904
10,2.4828820172576633
babycatcoinbsc,2.471720805376884
inbox,2.4496140229040635
win,2.399945801871195
cylum,2.3791579728359613
nice,2.3597806070006127
rewards,2.3535666646946427
recover,2.2958979301317646
phrase,2.2958979301317646
anonymous,2.2958979301317646
recoveryphrase,2.2958979301317646
cyber,2.2958979301317646
recovery,2.2958979301317646
nearprotocol,2.2912109050359075
near,2.2912109050359075
channel,2.2912109050359075
network,2.25442353480736
baby,2.2193069638593976
moon,2.2032617878294705
metaufo_airdrop,2.1930420478664465
bluelotus,2.1528240125211706
nftart,2.141294335931291
check,2.1401588857467004
like,2.1139075104273943
nftcommunity,2.0962302630761034
best,2.0873707248003917
whaleeverything,2.079715799177929
apy,2.074273500880347
bep20,2.0337206413034816
genesys,2.0234676239946867
metarevobsc,2.0124997394430375
still,2.0104048005152024
think,2.003193409099554
002,1.99236719756531
sol,1.9862679577063418
playtoearn,1.9615988462213392
x1000gem,1.958393550381866
stakingrewards,1.9469877133440336
autostaking,1.9469877133440336
autocompounding,1.9469877133440336
highapy,1.9469877133440336
babydoge,1.9413289690145632
robot,1.9345801540769223
nfts,1.9045324541705826
start,1.9036147391442562
enough,1.884293622018167
babycat,1.883200417234598
bluelotusdaofor,1.8778205822347709
blue,1.8778205822347709
information,1.8778205822347709
lotus,1.8778205822347709
dm,1.8778205822347709
family,1.8778205822347709
invite,1.8778205822347709
entire,1.8778205822347709
bluelotusdao,1.8778205822347709
gladly,1.8778205822347709
informationwebuildthefuturegenesysnetwork,1.8778205822347709
send,1.8778205822347709
invest,1.8647277153953914
amazing,1.8583507681594285
last,1.8440569656331003
chain,1.838945779873296
ada,1.8301076236076221
coins,1.8246596724151587
spacebirddefi,1.816690756836939
hi,1.8056249177817665
supply,1.7824766240673926
dot,1.7818635238287845
apecoin,1.7817410157646043
take,1.7797427332961857
investing,1.759319114037097
altcoinseason,1.759319114037097
movetoearn,1.7550647212640742
gamefi,1.7550647212640742
bemil_new_era,1.7550647212640742
bemil,1.7550647212640742
mvbiv,1.7550647212640742
binanceblockchainweek,1.7550647212640742
vietnamblockchainexpoverse,1.7550647212640742
sonofdogev2,1.7545508435331865
btceth,1.7518934478675794
wkc,1.7469625293480648
pancakeswappoocoin,1.7469625293480648
youre,1.7469625293480648
0x6ec90334d89dbdc89e08a133271be3d104128edb,1.7469625293480648
lowcapgems,1.7469625293480648
bitcoinasaprocky,1.7469625293480648
cheating,1.7469625293480648
please,1.738609599657762
token,1.727925169002706
right,1.7102622389360111
tezos,1.7074898110043653
soon,1.6978761652175858
going,1.694522091136501
pancakeswap,1.6801676515991377
xrp,1.6798511711777686
always,1.6343706236262143
issues,1.62251067445675
mighty,1.62251067445675
oceanthanks,1.62251067445675
drops,1.62251067445675
wallet0x4dc5f2bff864da32f109968e49ffe6c5e312921clittle,1.62251067445675
contribute,1.62251067445675
help,1.62251067445675
social,1.62251067445675
various,1.62251067445675
charity,1.62251067445675
collecting,1.62251067445675
india,1.62251067445675
water,1.62251067445675
nftcollector,1.615882026945439
ltc,1.6081211731880922
835,1.5983364460156313
future,1.5944557371556614
market,1.5783651552686058
cryptos,1.575067839787903
bbnt,1.575067839787903
buybbntoken,1.575067839787903
bbntoken,1.575067839787903
lets,1.5743563640563072
harmony,1.5654943659190295
smart,1.564967570249899
catcoin,1.5519060564961928
bullish,1.550940819863537
elonmusk,1.5336552917483905
trx,1.527842929725354
nftartists,1.523527727206038
nftcollectors,1.523527727206038
hours,1.5134337572327692
projects,1.5107444617246322
binstarterio,1.510346826319265
nftartist,1.4897419922750075
game,1.4861499593502963
utilium,1.4757097127795407
sodv2,1.4757097127795407
listed,1.4698287946535549
deal,1.4650161997377134
signalsnervosnetwork,1.4327921212915409
ckb,1.4327921212915409
reward,1.4281588990171201
mmcrypto,1.4237525771866606
projectcylum,1.412984653137355
cryptocurrecy,1.402990369724494
harmonyone,1.402990369724494
freenft,1.3945191832487882
sir0x3118f38e1e050f06d107731a78649c388d8fd8d2elonmusk,1.3945191832487882
polygonnft,1.3945191832487882
receive,1.3708652230167828
would,1.3685507610888301
without,1.3646620337562931
point,1.3489741251989482
auto,1.3456036106617435
minu,1.3456036106617435
tron,1.326640967146559
tokens,1.323664545599317
manifesting,1.3203310482047144
guys,1.318246834149347
meta_ufo,1.318211427651032
financial,1.2779311334623875
new,1.2751466370913551
hussein62188634,1.2725138559460747
puli,1.255636669281578
go,1.2545149946124858
hope,1.2398837407484486
thats,1.2334169638496018
1b,1.2334169638496018
mcsonofdoge,1.2334169638496018
500x,1.2334169638496018
00000000001459,1.2334169638496018
could,1.2333318683317485
thing,1.219631533576882
every,1.2170942758146248
sales,1.216727366741703
strong,1.2075922547617428
dogecola,1.204082698963534
time,1.1934904629406016
volume,1.1798190918590228
oasisnetwork,1.1668787871933644
stg,1.1668787871933644
signalsbnb,1.1668787871933644
stargatefinance,1.1668787871933644
rose,1.1668787871933644
20000,1.1630475411931753
altcoin,1.1347342361307076
gang,1.1297754060429253
wolf,1.1297754060429253
rebel,1.1297754060429253
running,1.1186567634824645
platform,1.1170966067681858
altcryptocom,1.111108344482315
luck,1.1109855576006027
performance,1.1036624304860816
follow,1.1010076723133873
drop,1.1007504914839783
busd,1.0993007890582638
even,1.0862764582466875
presale,1.0822408776034758
apompliano,1.0780775115609724
thanks,1.0760720363818774
address,1.066872013449264
chart,1.0609922719017697
ever,1.054913929630736
really,1.05186142687062
company,1.042867940282641
trade,1.0427493131965688
yieldfarming,1.042698829831077
altcoinworldcom,1.0375026564103185
cryptogems555,1.0346420164535868
000,1.029336128996325
offers,1.0183271867365538
16,1.0119655240916354
airdropdet,1.0117891974799482
100xgem,1.0095993309580404
launch,1.0042169464232367
live,1.0013550185420883
24,0.9999538664014919
cap,0.9979280651948617
01,0.995011477531425
prices,0.9938988387136507
need,0.9795508793063628
premium,0.9755432856690243
dont,0.9743854829263916
launchavax,0.973138677839246
web3_coin,0.9697703214033437
predictions,0.9674943996987323
whitelist,0.9660428328442404
financialfreedom,0.9628879403892678
via,0.9601083215600428
making,0.9531420332212528
luna,0.951749649019611
big,0.9509473001698462
staking,0.94788409982801
ape,0.9467224331508083
link,0.9459506214813178
davidgokhshtein,0.9436634187892058
excellent,0.942785436514955
mirutoken,0.9373352132506567
minute,0.9336580879441235
plan,0.9250760443861328
hold,0.9204987435516049
looking,0.9188602613114997
getting,0.9182661054412282
0x9b3c91845520a,0.9138401595661783
kaseki,0.9138401595661783
0x1e02c523f5073,0.9138401595661783
coin,0.9134328899934318
april,0.9127412769689272
wish,0.9127028430456641
solana,0.906126719908172
days,0.8979239562944531
assets,0.8970387739196498
levels,0.890380844494054
people,0.8898674033698074
successful,0.8887968736473268
100000,0.8837129449335934
pathfund,0.8801434950833162
job,0.8796789157329985
halovshorn,0.8773564617844517
officialtravlad,0.8747690813859144
burn,0.8695005838260055
coinmarketcap,0.8633064135499706
0x014ede16e106e,0.8616843260156433
create,0.8606567033477522
available,0.860273521898562
polygon,0.8599387812661942
strikexofficial,0.8490395062571778
o3_labs,0.8490395062571778
uncx_token,0.8490395062571778
ventfinance,0.8490395062571778
polychainmon,0.8490395062571778
aogcoin,0.8490395062571778
poolz__,0.844921582234637
lamdentau,0.844921582234637
mars4_me,0.844921582234637
apr,0.8404337493824221
152022btc,0.8404337493824221
015shib,0.8404337493824221
00000000014comments,0.8404337493824221
utc,0.8393991416343545
opensea,0.8365967308053349
bridge,0.833357328942828
percent,0.8326847623406821
100,0.8299670597158917
001,0.8239839701273605
sectorprotocol,0.8197391208731193
rfc,0.8184609569636669
updates,0.8183530154369429
leslarmetaverse,0.8168841014976393
dogecoin,0.8162166076703967
action,0.8144793515261411
better,0.8127350670745828
news,0.804637609457004
wallets,0.8005328212478322
seen,0.7946563323195348
freedom,0.7944248566002289
15,0.788924625566024
next,0.7887911665259095
miss,0.784013960329959
cro,0.7803090998529183
also,0.7796589178971316
giving,0.7782396297626321
hexanfts,0.7759564409903728
nftmarketplace,0.7759564409903728
hexanfts_com,0.7759564409903728
gems,0.7748606999453697
progress,0.7728108769830657
golden,0.7713502197604661
themooncarl,0.7697806967640186
projectsararebkay,0.7674084757895858
darareyes,0.7674084757895858
sararticles,0.7674084757895858
congratulations,0.7638715040339563
believe,0.7618418302204073
wealth,0.7585505270674006
loss,0.7551734131596325
bsrbinstarterboycott_bsrarab_boycott_binstarterbsrteam_stop_manipulationbitcoinbnb,0.7551734131596325
manipulating,0.7551734131596325
binstarter,0.7551734131596325
happenbabycatcoinbsc,0.7538129676708207
digital,0.7538129676708207
hacking,0.7458263968116443
retweet,0.7449380523086411
forbes,0.7435227789839035
easy,0.7433111972014939
rfcoin,0.7408992574244037
trending,0.7395514004817884
monthly,0.7335794501979173
ibnb,0.7328819151173263
success,0.7284615823193772
hey,0.727623681677468
milo,0.721373700524006
friends,0.7173820679622662
day,0.7115716311414557
value,0.7076821657818052
list,0.7075968899764616
spend,0.7072425844098325
v2,0.7072338174174702
30,0.7061680133745156
free,0.7047213565426338
entry,0.7044434046995206
im,0.7038218360001129
many,0.7033946548422043
cryptocurrencies,0.7030862026140312
sometimes,0.7010193021135986
dream,0.7010193021135986
sirdecka,0.7010193021135986
address0x52e1181b7cd09f6b92d7de6dffbe0186c713b887thank,0.7010193021135986
brooks92266313,0.6993309705383742
prestonpysh,0.6992795745303154
full,0.698699272139791
lttelegram,0.6938690265491024
limit,0.6938690265491024
production,0.691968174982573
talkswoodswoodstelegram,0.6877548549541415
donekimayproofs,0.6859922468507208
yewh,0.6859922468507208
100xgems,0.6844198519086043
users,0.6835912597246094
mobile,0.6806897869759428
broadbabycatcoinbsc,0.6806897869759428
bnb_today,0.673169658899161
manekiinucoinmanekiinu,0.6728018053308717
150bnbhc300bnb,0.6728018053308717
manekiinucoin,0.6728018053308717
sc,0.6728018053308717
maneki,0.6728018053308717
tax,0.6728018053308717
quadrillion,0.6728018053308717
3pm,0.6728018053308717
buy17,0.6728018053308717
tw,0.6728018053308717
bscpresale,0.6728018053308717
sell,0.6728018053308717
deflationary1,0.6728018053308717
inu,0.6728018053308717
