id,handle,created_at,text,cleaned_text
1514966491103633413,AnantoMusic1,2022-04-15 13:58:52+00:00,"I am claiming my free Lightning sats from @_bitcoiner's zesty faucet! ⚡

@boltcoiner unlock me 32ed527c-4104-42b0-bf24-5b43ea98896b

#Bitcoin #BTC #LN #LightningNetwork #boltcoiner
https://t.co/ZUyuYMGzZp",claiming free lightning sats _bitcoiners zesty faucet boltcoiner unlock 32ed527c410442b0bf245b43ea98896bbitcoin btc ln lightningnetwork boltcoiner
1514966489530617856,AltcoinFGI,2022-04-15 13:58:52+00:00,"@BTCTN Our analytical team has done a detailed analysis regarding #BTC, and its Fear and Greed Index is 50 - NEUTRAL at the moment with price of 40205.748316863658 usd, so what do you think about the current #Bitcoin state?",btctn analytical team done detailed analysis regarding btc fear greed index 50 neutral moment price 40205748316863658 usd think current bitcoin state
1514966488339599363,EvaFox06729176,2022-04-15 13:58:52+00:00,"Full thanks to @Tradeosiann as they have analysed this #Bitcoin crash so my funds doesn't affected and I have not faced any type of losses 
They are absolutely amazing in tips,advices and everything 😌 $PYR $REN $KEY $TRB #Binance o",full thanks tradeosiann analysed bitcoin crash funds doesnt affected faced type losses absolutely amazing tipsadvices everything pyr ren key trb binance
1514966484144967680,Buildionaire808,2022-04-15 13:58:51+00:00,Invest in crypto #Bitcoin #BTC #KTO #Coinbase #altcoins #BitcoinButton #crypto https://t.co/pkI0JAGbRU,invest crypto bitcoin btc kto coinbase altcoins bitcoinbutton crypto
1514966481385099265,TomaszBednarsk4,2022-04-15 13:58:50+00:00,"@Koolaid_crypto #bitcoin Need to re-analyse the market to see if and when the next entries will be. 

But looks to me like bulls have full control. I usually trade to be much more useful lately 

I’ve been taking @Tz4hol tweets and tips seriously and I’ve been doing extremely good
Follow her",koolaid_crypto bitcoin need reanalyse market see next entries looks like bulls full control usually trade much useful lately ive taking tz4hol tweets tips seriously ive extremely goodfollow
1514966472056991749,CryptoAmelia1,2022-04-15 13:58:48+00:00,"Full thanks to @Tradeosiann as they have analysed this #Bitcoin crash so my funds doesn't affected and I have not faced any type of losses 
They are absolutely amazing in tips,advices and everything 😌 $PYR $REN $KEY $TRB #Binance ,p",full thanks tradeosiann analysed bitcoin crash funds doesnt affected faced type losses absolutely amazing tipsadvices everything pyr ren key trb binance p
1514966469829963785,creators_oracle,2022-04-15 13:58:47+00:00,"@renoomokri Earn free Bitcoin through mining. It cost nothing than your phone and data. And open the app at least once per 24hrs and claim your blocks.
https://t.co/Nk0SJ6GQww https://t.co/nbTMe593g2",renoomokri earn free bitcoin mining cost nothing phone data open app least per 24hrs claim blocks
1514966464322752525,Elizabeth__Gary,2022-04-15 13:58:46+00:00,"Are you interested in binary option trade/ bitcoin investment, While investing without any positive results?? Invest with a trusted account manager and get a better return in 7 days time , 
All weekly profits are 100% guaranteed .(payout is assured)
#Bitcoin #investing #crypto",interested binary option trade bitcoin investment investing without positive results invest trusted account manager get better return 7 days time weekly profits 100 guaranteed payout assuredbitcoin investing crypto
1514966464071143436,coinfomania,2022-04-15 13:58:46+00:00,@saylor Anyway is a good day to buy #bitcoin,saylor anyway good day buy bitcoin
1514966461844017163,ShillSmith_,2022-04-15 13:58:45+00:00,Bitcoin maxis are the vegans of crypto,bitcoin maxis vegans crypto
1514966458639568905,Harbolarjii,2022-04-15 13:58:45+00:00,"DID YOU KNOW?

IF MAN UNITED BOUGHT £80m OF BITCOIN IN 2019 INSTEAD OF MAGUIRE, THEY WOULD HAVE £868.5M RIGHT NOW.

#MaguireOut",knowif man united bought 80m bitcoin 2019 instead maguire would 8685m right nowmaguireout
1514966449139458051,jamesviggy,2022-04-15 13:58:42+00:00,🌊 El Zonte Bitcoin Beach ⛱️ https://t.co/kwIWCv8ws5,el zonte bitcoin beach
1514966445658034176,HadiHos65287736,2022-04-15 13:58:42+00:00,"@Forbes #BlueSparrow is a bridge between the stock market and crypto .. You will have both in the Blue Sparrow CEX
#BlueBit  😍😍😍😍
#web3
#Metaverse 
#Bitcoin  #NFT
#BlueSparrowCEX 🤩🤩 gbs

https://t.co/R7y8iP4Bkj",forbes bluesparrow bridge stock market crypto blue sparrow cexbluebit web3metaverse bitcoin nftbluesparrowcex gbs
1514966440700432392,Emanuel53163564,2022-04-15 13:58:40+00:00,"basically Bitcoin is a pyramid scheme backed up by blockchain technology which makes it possible to store value in it effectively and democratically. 
If the words pyramid scheme makes you cringe that's good. but consider this, isn't life reliant on bringing new generations too?",basically bitcoin pyramid scheme backed blockchain technology makes possible store value effectively democratically words pyramid scheme makes cringe thats good consider isnt life reliant bringing new generations
1514966436904640515,MCStaker,2022-04-15 13:58:39+00:00,"🔥🔥2 MINUTES LEFT TO LAUNCH🔥🔥
🔥🔥2 MINUTES LEFT TO LAUNCH🔥🔥
🔥🔥2 MINUTES LEFT TO LAUNCH🔥🔥
🔥🔥2 MINUTES LEFT TO LAUNCH🔥🔥

#AVAX #FTM  #ONE #HarmonyONE #Harmony #crypto #avalanche #matic #bnb #bitcoin #ethereum #Doge #crypto #DeFi #cryptocurrecy #CryptoNews",2 minutes left launch2 minutes left launch2 minutes left launch2 minutes left launchavax ftm one harmonyone harmony crypto avalanche matic bnb bitcoin ethereum doge crypto defi cryptocurrecy cryptonews
1514966436816449538,CryptoAmelia1,2022-04-15 13:58:39+00:00,"Full thanks to @Tradeosiann as they have analysed this #Bitcoin crash so my funds doesn't affected and I have not faced any type of losses 
They are absolutely amazing in tips,advices and everything 😌 $PYR $REN $KEY $TRB #Binance ,o",full thanks tradeosiann analysed bitcoin crash funds doesnt affected faced type losses absolutely amazing tipsadvices everything pyr ren key trb binance
1514966433486479362,EvaFox06729176,2022-04-15 13:58:39+00:00,"Full thanks to @Tradeosiann as they have analysed this #Bitcoin crash so my funds doesn't affected and I have not faced any type of losses 
They are absolutely amazing in tips,advices and everything 😌 $PYR $REN $KEY $TRB #Binance i",full thanks tradeosiann analysed bitcoin crash funds doesnt affected faced type losses absolutely amazing tipsadvices everything pyr ren key trb binance
