id,handle,created_at,text,cleaned_text
1514966725846081544,cotti_fi,2022-04-15 13:59:48+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/iwB5S9zkr3",nftcoll90428561 hi kotti wants make friends dont miss chance make rare friend kotti catnftcollectibles nfts nftdrop nft nftcollector nftart art artgallery opensea ethereum animation artwork nftgiveaway eth nftcommumity
1514966721043791882,Mosquito_1412,2022-04-15 13:59:47+00:00,@losslessdefi @ethereum Congrats to $LSS🚀🚀🚀,losslessdefi ethereum congrats lss
1514966709689585680,JunkoSu22993224,2022-04-15 13:59:44+00:00,A story about Ethereum MEV Mafia sending out bad guys to rob ordinary citizens of their money. https://t.co/VMrDxyrPnM,story ethereum mev mafia sending bad guys rob ordinary citizens money
1514966706312994819,TheTortoiseMag,2022-04-15 13:59:44+00:00,"This is a world of architecture museums exhibiting corporate-curated sex-dolls, 'worn' BLM protest shirts, maternity breast-pumps, 'green' Ethereum blockchain transactions, Nintendo and Nike 'domestic-life' items, 900k student-debt photo exhibitions, and Netflix documentaries.",world architecture museums exhibiting corporatecurated sexdolls worn blm protest shirts maternity breastpumps green ethereum blockchain transactions nintendo nike domesticlife items 900k studentdebt photo exhibitions netflix documentaries
1514966699845595136,cotti_fi,2022-04-15 13:59:42+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/6SZInW9YE2",nftcoll90428561 hi kotti wants make friends dont miss chance make rare friend kotti catnftcollectibles nfts nftdrop nft nftcollector nftart art artgallery opensea ethereum animation artwork nftgiveaway eth nftcommumity
1514966698226745350,abdulla9247,2022-04-15 13:59:42+00:00,"#DeFi #ethax #ethaxcrypto #ethaxtoken #DEX #cryptocurrency #Ethereum #BinanceSmartChain #Bitcoin The project is very serious and reliable for investment. The company has already implemented many successful projects around the world.The project is elegant, strong and quality.",defi ethax ethaxcrypto ethaxtoken dex cryptocurrency ethereum binancesmartchain bitcoin project serious reliable investment company already implemented many successful projects around worldthe project elegant strong quality
1514966690563604481,bitcoingraph,2022-04-15 13:59:40+00:00,[BTCUSDT - WEEK] #BTC #BTCUSDT #BINANCE #BTCUSD #CRYPTO #BITFINEX #BITCOINGRAPHIC #OKEX #ETH #ETHEREUM #ETHUSDT #CHZUSDT https://t.co/0E9A9Y0hQW,btcusdt week btc btcusdt binance btcusd crypto bitfinex bitcoingraphic okex eth ethereum ethusdt chzusdt
1514966686625116163,CryptoSynthetic,2022-04-15 13:59:39+00:00,"@WhaleEverything I'm staking up $SYLO now especially when @coinbase announced it amongst the possible crypto to be listed on its exchange. 

That's not all, I'm stacking it up so I can run node when it becomes incentivised as it's now on @CENNZnet which offers cheap gas fee unlike #Ethereum",whaleeverything im staking sylo especially coinbase announced amongst possible crypto listed exchange thats im stacking run node becomes incentivised cennznet offers cheap gas fee unlike ethereum
1514966678731374597,cotti_fi,2022-04-15 13:59:37+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/kCTSRokaWG",nftcoll90428561 hi kotti wants make friends dont miss chance make rare friend kotti catnftcollectibles nfts nftdrop nft nftcollector nftart art artgallery opensea ethereum animation artwork nftgiveaway eth nftcommumity
1514966660012253186,Soriii718762441,2022-04-15 13:59:33+00:00,"@Cheemacrypto @dio_ianakiara @StarlinkInu @cz_binance @davidgokhshtein If you don't know how big this can be, then you better follow us because we are going places that you've never seen! @StarlinkInu 

#StarlinkInu #CRORewards #TheFirst #nft #nftart #nftcommunity  #nftartist #cryptoart #digitalart #crypto #ethereum #blockchain #opensea 💢💯🤡💯",cheemacrypto dio_ianakiara starlinkinu cz_binance davidgokhshtein dont know big better follow us going places youve never seen starlinkinu starlinkinu crorewards thefirst nft nftart nftcommunity nftartist cryptoart digitalart crypto ethereum blockchain opensea
1514966653783748609,RobinTrevor1,2022-04-15 13:59:31+00:00,@CryptoGucci I won't introduce Ethereum even to my Enemy in the wildest case. Cause I for one don't want to take a curse of ruining someone's wealth and life by just burning in fee. Already people are ridiculing if we talk abt it. Time will make the world smarter sooner.,cryptogucci wont introduce ethereum even enemy wildest case cause one dont want take curse ruining someones wealth life burning fee already people ridiculing talk abt time make world smarter sooner
1514966650994716678,cotti_fi,2022-04-15 13:59:30+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/MkFRs8NukZ",nftcoll90428561 hi kotti wants make friends dont miss chance make rare friend kotti catnftcollectibles nfts nftdrop nft nftcollector nftart art artgallery opensea ethereum animation artwork nftgiveaway eth nftcommumity
1514966638801698817,BrumaCrypto,2022-04-15 13:59:28+00:00,@coinbureau These NFTs must be as good as Ethereum Max. Most likely it will be the same idiot buying them,coinbureau nfts must good ethereum max likely idiot buying
1514966621818826754,SotonAhamed5,2022-04-15 13:59:24+00:00,@EthaxCrypto #ethaxcrypto #ethaxtoken #DEX #cryptocurrency #Ethereum #BSC #Bitcoin I am very excited for this project. this project later when launching will be a lot of its enthusiasts because this project has a solid team structure and trusted.,ethaxcrypto ethaxcrypto ethaxtoken dex cryptocurrency ethereum bsc bitcoin excited project project later launching lot enthusiasts project solid team structure trusted
1514966602630012928,cotti_fi,2022-04-15 13:59:19+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/R3ORTl8ger",nftcoll90428561 hi kotti wants make friends dont miss chance make rare friend kotti catnftcollectibles nfts nftdrop nft nftcollector nftart art artgallery opensea ethereum animation artwork nftgiveaway eth nftcommumity
1514966599056326657,MistArtworks,2022-04-15 13:59:18+00:00,Sad truth : The Dapps running on ethereum isn't fully Decentralised :/,sad truth dapps running ethereum isnt fully decentralised
1514966598318268417,Ethereum_Hourly,2022-04-15 13:59:18+00:00,"Current #Ethereum Price: $3,024.07 📈",current ethereum price 302407
