term,frequency
ethereum,22.06768520157725
nft,14.870895736530027
eth,12.702972567988025
crypto,11.989739266657843
opensea,11.804645897016211
rarible,11.521790173774296
bitcoin,11.30900767617291
nftcommunity,9.892372869292046
nfts,9.735181347692055
binance,9.478630444574517
cryptocurrency,8.775542311852362
yooshi,8.747030025035466
project,8.452346358059089
okx,8.42503747098974
nftart,8.019352109385641
price,7.81344909133602
panda,7.40401891397401
metaverse,6.952467749670461
nftcollector,6.906182727453506
nftdrop,6.6761018360335616
defi,6.600687271017141
last,6.4116046399290045
btc,6.234670722924208
like,6.078331486163305
minutes,5.962843989827104
via,5.944412410318957
make,5.843206721162174
one,5.742664988002947
new,5.730203645120571
left,5.682970875335293
nftgiveaway,5.591784079635877
collection,5.428774369378806
buy,5.404233831165076
openseanft,5.385283134377992
nonfungible,5.2982836655627965
nftcollection,5.245443009600304
kotti,5.19664476938355
bsc,5.103573346906709
digitalasset,5.013297181129167
hey,4.976560036682612
first,4.816894569066565
check,4.779771774940037
work,4.743614416965789
home,4.723361384781592
real,4.6017086902773805
list,4.529622960102801
coinbase,4.526277861487868
bro,4.516083446966661
hicheck,4.516083446966661
ugliness,4.516083446966661
studio,4.516083446966661
emphasize,4.516083446966661
send,4.516083446966661
canvas,4.516083446966661
selected,4.516083446966661
individuality,4.516083446966661
creativity,4.516083446966661
hang,4.516083446966661
decor,4.516083446966661
beauty,4.516083446966661
bnb,4.496278386878637
etherum,4.452193300720517
cz_binance,4.450422597518983
art,4.436485600909732
yooshifamily,4.373515012517733
yooshiarmy,4.373515012517733
dao,4.373515012517733
yooshi_official,4.373515012517733
gamefi,4.373515012517733
nftgame,4.373515012517733
tothemoon,4.373515012517733
cryptonews,4.218766761715082
kucoincom,4.21251873549487
mexc,4.21251873549487
hotbit,4.21251873549487
krakenfx,4.21251873549487
kucoin,4.21251873549487
dont,4.193419988032505
space,4.09248424459668
item,4.028421991117058
nftartists,3.8819119625788026
nftcollectors,3.8498991528807984
collectible,3.8102328301400994
blockchain,3.737010884024226
nftlaunch,3.702009456987005
cute,3.702009456987005
nowar,3.702009456987005
aliennfts,3.702009456987005
club,3.702009456987005
alien,3.702009456987005
vip,3.702009456987005
shibainu,3.702009456987005
093,3.702009456987005
gas,3.6788318671715032
ethaxcrypto,3.5710222839231305
found,3.428059882105913
nftartist,3.3992796465988606
miss,3.2461472788862618
wallet,3.2195834147862987
dm,3.1380667334498553
stonerdogeeth,3.0073790206067734
daily,2.9871598455239297
chance,2.8768058304840896
ethaxtoken,2.8723102869524872
dex,2.8723102869524872
ive,2.8206661484186233
3491bb,2.775142106059905
pricecrypto,2.775142106059905
indicatorsrsi,2.775142106059905
ethrsi,2.775142106059905
lowerupper,2.775142106059905
48144bollinger,2.775142106059905
artgallery,2.7647509809634556
rare,2.740869081941329
hi,2.735499528140201
look,2.7313944125511886
friends,2.726861011954998
wants,2.69928242039315
dacryptoghost,2.61073099466241
good,2.606988812684404
artwork,2.598322384691775
catnftcollectibles,2.598322384691775
friend,2.598322384691775
