term,frequency
tether,24.456587165308786
usdt,12.174006658808509
bitcoin,9.052674717846394
crypto,8.578748577909247
tether_to,8.540132765303918
price,8.278805820542987
cardano,7.5662901991578435
btc,6.78079593276094
usdc,6.49985853555402
blockchain,6.0344932086020835
stablecoins,5.889460880417051
would,5.281581937523733
like,5.031225240007329
ethereum,4.905093783223505
im,4.718088587124012
launched,4.669598073235787
think,4.459338316201274
channel,4.433241521962144
time,4.401081075706688
mina,4.290751279671492
bnb,4.23649717010617
top,4.210535495761176
eth,4.190852616025411
dont,4.114934293675017
binance,4.085741382499995
end,4.069450142551592
one,3.952039619895928
stablecoin,3.5751691258566516
buy,3.3763988809618346
good,3.3313561155388527
xrp,3.3196229242884345
people,3.238695163406445
cointelegraph,3.202973491906844
dogecoin,3.1669141075391143
given,3.1353273105720327
1h,3.095886544236614
check,3.030638882146767
ada,3.020425763801323
get,3.0131410573299204
based,3.003978541607982
much,2.9977775482125537
report,2.971402541884827
fud,2.9447915318435283
cap,2.9066177797090935
signal,2.879108293908121
pair,2.879108293908121
usdtexchange,2.879108293908121
tweettrading,2.879108293908121
still,2.857316405205831
see,2.8017231663425246
elonmusk,2.7381207227428233
100,2.738096940555673
kusama,2.696162359444287
robot,2.689557304426231
spend,2.6717419149825954
cryptoslate,2.654758828191416
cryptocurrencies,2.64312795782304
could,2.6154223133118384
right,2.550691069842984
keep,2.5323512473179357
20220415,2.503178946604336
alert,2.503178946604336
trading,2.4993627284725126
know,2.4855922727648547
us,2.4430407041475117
3tether,2.4393943477924065
100change,2.4393943477924065
usdtprice,2.4393943477924065
money,2.4310996190558884
soon,2.42518528951679
mmcrypto,2.418785989165069
bitfinex,2.4112542407717172
usd,2.403233862487275
market,2.395436833555059
great,2.3304741326075566
please,2.312698781206841
news,2.288744661392579
little,2.26900153777644
even,2.2580133550849175
going,2.2398817166447484
coin,2.213853639971631
coinbase,2.191602602116348
apompliano,2.16706121650312
use,2.1637484625534964
happy,2.138341618241934
easter,2.138341618241934
tethers,2.130964355523766
thats,2.118739389489548
make,2.093658809686917
support,2.0875367455366174
cryptojack,2.081734397294839
way,2.0696198733171207
paoloardoino,2.065316894421571
also,2.044688958348
lol,2.011056860746811
100trillionusd,1.984952462580502
wont,1.9698342482150937
long,1.9610018182223266
want,1.9568744046866506
stats,1.9374992915467306
mana,1.9283159720856264
twitter,1.9203582444888219
spent,1.9042520048807816
solana,1.8957959781954403
mr,1.8873731538877703
never,1.879320780620834
say,1.8550714383143485
go,1.8449099308356438
kusamanetwork,1.838504736676685
wait,1.8318693299231326
24h,1.8241321357821427
many,1.8067146183753031
able,1.799265772480763
qtum,1.7823781008261166
guy,1.774390619824247
near,1.7696343680588302
next,1.764987446125081
since,1.749368675242886
help,1.747553084539398
big,1.7379455264752104
