id,handle,created_at,text
1515648155202818058,AltcoinFGI,2022-04-17 11:07:34+00:00,"Enjin Coin Fear and Greed Index is currently 52 - NEUTRAL

Current #ENJ price is 1.5017662941106542 usd
Current market cap is 1,318,886,759 usd
24h trading volume is 70,793,649 usd

Live #crypto analysis for $ENJ and 100 other #altcoins and #cryptocurrencies https://t.co/BotTpSCmx9"
1515646506270961669,VeryCryptoNerd,2022-04-17 11:01:01+00:00,"📊 #crypto Stats 📊

#Bitcoin = $40459
#Ethereum = $3044.65
#Tether = $1.001
#BNB = $414.71
#USD_Coin = $0.998906
#XRP = $0.779671
#Solana = $102.3
#Cardano = $0.952633
#Terra = $81.57
#Avalanche = $77.79 https://t.co/0iYlfXzizl"
1515646409084747777,BalanceOt,2022-04-17 11:00:37+00:00,"YOUR PRIVATE TRADING ASSISTANT 🚀

#AI look at hourly charts $BTC #BTC

According to the one-hour chart, BTC/USD is trading within the symmetrical triangle chart pattern. Decreasing...

Just choose your coin and be an expert!
#crypto #trading

CHECK https://t.co/Gm1Mua8CwN https://t.co/Cgr9JyvOeC"
1515643536326238215,CoinforecastOrg,2022-04-17 10:49:13+00:00,"🤷‍♂️ What if 🤷‍♂️  How much money would you have today, if you had invested $1,000.00 in #Usd-coin $USDC 2 years ago? Your investment today would have a value of $1,002.67 (+0.267%) 💰💰 | 🪙 =&gt; 1,004.316 #USDC | 👁️  More: https://t.co/Ve68V3s3iJ https://t.co/pWRaKw8XUd"
1515643436342419456,TickerTop,2022-04-17 10:48:49+00:00,"1: Bitcoin price is $40415.52 (-0.06% 1h)
2: Ethereum price is $3041.52 (-0.08% 1h)
3: Tether price is $1.00 (-0.00% 1h)
4: BNB price is $414.46 (0.05% 1h)
5: USD Coin price is $1.00 (0.00% 1h)
11: Dogecoin price is $0.14 (-0.17% 1h)"
1515641181132185600,InfoDoge2,2022-04-17 10:39:51+00:00,"📣 Curated Coin Metrics every 15mins 📣

#ADA  |  0.951 USD  |  -0.3% 

Mrkt Dominance:  1.72% 

Txn Vol:  37.188B

Active Addresses:  117.3K

TVL:  220.0M"
1515640637559046146,0x8ap01,2022-04-17 10:37:41+00:00,"Plan going forward on $FTM network:
- Build up USD stable coin (roughly 40%-50% portfolio on sideway or bear market)
- Accumulating $FTM $WFTM
- Accumulating DEX native coins $BOO
- Accumulating degen coin (5%-10%) $HEC $DEUS"
1515639065869230084,InfoDoge2,2022-04-17 10:31:27+00:00,"📣 Curated Coin Metrics every 15mins 📣

#ALGO  |  0.738 USD  |  +0.10% 

Mrkt Dominance:  0.26% 

Txn Vol:  11.7M

Active Addresses:  2.58K

TVL:  173.3M"
1515639042494324737,InfoDoge2,2022-04-17 10:31:21+00:00,"📣 Curated Coin Metrics every 15mins 📣

#ADA  |  0.950 USD  |  -0.3% 

Mrkt Dominance:  1.71% 

Txn Vol:  37.188B

Active Addresses:  117.3K

TVL:  220.0M"
1515639019102777344,InfoDoge2,2022-04-17 10:31:16+00:00,"📣 Curated Coin Metrics every 15mins 📣

#ETH  |  3043. USD  |  +0.09% 

Mrkt Dominance:  19.6% 

Txn Vol:  4.28B

Active Addresses:  548.3K

TVL:  116.9B"
1515638995572736002,InfoDoge2,2022-04-17 10:31:10+00:00,"📣 Curated Coin Metrics every 15mins 📣

#BTC  |  40425 USD  |  0.00% 

Mrkt Dominance:  41.2% 

Txn Vol:  11.673B

Active Addresses:  774.8K

TVL:  150.0M"
1515638861103345664,BalanceOt,2022-04-17 10:30:38+00:00,"YOUR PRIVATE TRADING ASSISTANT 🚀

#AI look at hourly charts $BTC #BTC

According to the one-hour chart, BTC/USD is trading within the symmetrical triangle chart pattern. Decreasing...

Just choose your coin and be an expert!
#crypto #trading

CHECK https://t.co/Gm1Mua8CwN https://t.co/X8giRsHE0n"
1515631501878120451,PuppyCoinBot,2022-04-17 10:01:23+00:00,1 million $PUP is currently worth $102.23 USD. Up 0.34% since last pupdate. Don't miss out on the hottest new meme coin! 🐶 #PuppyCoin https://t.co/qG0v6zdTYA
1515631408626163712,VeryCryptoNerd,2022-04-17 10:01:01+00:00,"📊 #crypto Stats 📊

#Bitcoin = $40471
#Ethereum = $3046.07
#Tether = $1.001
#BNB = $414.47
#USD_Coin = $0.998793
#XRP = $0.781816
#Solana = $102.1
#Cardano = $0.950827
#Terra = $81.51
#Avalanche = $78.01 https://t.co/qDLNbVDprG"
1515631326883368960,BalanceOt,2022-04-17 10:00:42+00:00,"YOUR PRIVATE TRADING ASSISTANT 🚀

#AI look at daily charts $ETH #ETH

According to the daily chart, ETH/USD has bounced from the top at 3580.76. Price is trading with the downwards...

Just choose your coin and be an expert!
#crypto #trading

CHECK https://t.co/Gm1Mua8CwN https://t.co/hIa5vWzXS9"
1515631274798780418,GetCuan,2022-04-17 10:00:29+00:00,"USD Coin
$USDC
Price IDR: Rp 14,349.43
Price USD: US$0.998793
High USD: US$ 1.001
Low USD: US$ 0.996422
Change 1 H: -0%
Change 24 H: -0.1%

Pertama download aplikasi Snack Video di play store
    masukan kode referral: 653 437 584
    https://t.co/AfHBzhTKw2

BTS COMEBACK"
1515630617764921345,Irenagreencoin,2022-04-17 09:57:52+00:00,"https://t.co/RMShNT9p4y
The IRENA/BNb liq in Pancakeswap 60% belongs to the IRENA Team and is locked forever.👍
PANCAKE LIQ= $72,000
COINTIGER LIQ= $87,700
MEXC LIQ= $204,400
TOTAL LIQ= 364,100 USD 💰
Trust wallet problem will be fixed soon.
We believe in our project. #irenacoin"
1515630365813006339,tikukyu,2022-04-17 09:56:52+00:00,"Why is the USD Coin pool so profitable?
#curvefinance
#curve 
#Avalanche 
#defi https://t.co/I7er4NJGpt"
1515628334012641282,TickerTop,2022-04-17 09:48:48+00:00,"1: Bitcoin price is $40442.10 (0.14% 1h)
2: Ethereum price is $3043.88 (0.11% 1h)
3: Tether price is $1.00 (-0.00% 1h)
4: BNB price is $414.24 (0.05% 1h)
5: USD Coin price is $1.00 (-0.01% 1h)
11: Dogecoin price is $0.14 (0.07% 1h)"
1515627238179446784,Crypto_Renato,2022-04-17 09:44:27+00:00,"@btctrek @hordavres @WClementeIII A lot of the newbies put their money, which would’ve gone to btc, on shitcoins because of the perception that it’s expensive. So, yes, there’s perceived competition. Some thing it’s boomer coin and invest their usd else where."
1515624606283214852,smart_jok3r,2022-04-17 09:33:59+00:00,"@block_writer hey mate , I asked a question few days ago in regards to the sneak peak video of #Veraverse . I was wondering why can’t we use #vra coin instead of #usd currency to pay for #NFTs @verasitytech @VeraEsports"
1515623759360802819,BalanceOt,2022-04-17 09:30:37+00:00,"YOUR PRIVATE TRADING ASSISTANT 🚀

#AI look at hourly charts $ETH #ETH

A series of higher lows and higher highs indicates that since the temporary bottom at 2997.92, ETH/USD has...

Just choose your coin and be an expert!
#crypto #trading

CHECK https://t.co/Gm1Mua8CwN https://t.co/hxgzAMLjuK"
1515618394015477760,Ins1D30uT,2022-04-17 09:09:18+00:00,"@RavencoinAddict @zara_larue @isabellasg3 If you read all of the comments, I never said I bought at the top (and I didn't buy at the top at all. I actually bought at $90) and I have earned the rest from doing work. I haven't held close to 100k of any coin except the USD. And BSV is solid and workds."
1515616307022077952,VeryCryptoNerd,2022-04-17 09:01:01+00:00,"📊 #crypto Stats 📊

#Bitcoin = $40396
#Ethereum = $3042.11
#Tether = $1.001
#BNB = $414.19
#USD_Coin = $0.998501
#XRP = $0.783023
#Solana = $102.02
#Cardano = $0.949006
#Terra = $81.46
#Avalanche = $77.76 https://t.co/hrJwhUq8uG"
1515616198582747138,WorldCoinIndex,2022-04-17 09:00:35+00:00,Bitcoin price index https://t.co/o7UcHJUPrE #USD #EUR #CNY #GBP #RUB https://t.co/CWJnNhBxuK
1515614808426614784,AltcoinFGI,2022-04-17 08:55:03+00:00,"Enjin Coin Fear and Greed Index is currently 52 - NEUTRAL

Current #ENJ price is 1.4978842757512187 usd
Current market cap is 1,315,477,479 usd
24h trading volume is 70,836,959 usd

Live #crypto analysis for $ENJ and 100 other #altcoins and #cryptocurrencies https://t.co/GJYpDpAMYA"
1515613223915077635,TickerTop,2022-04-17 08:48:45+00:00,"1: Bitcoin price is $40383.71 (0.22% 1h)
2: Ethereum price is $3040.45 (0.12% 1h)
3: Tether price is $1.00 (0.00% 1h)
4: BNB price is $414.01 (-0.02% 1h)
5: USD Coin price is $1.00 (-0.04% 1h)
11: Dogecoin price is $0.14 (0.06% 1h)"
1515608666300366848,BalanceOt,2022-04-17 08:30:39+00:00,"YOUR PRIVATE TRADING ASSISTANT 🚀

#AI look at hourly charts $BTC #BTC

According to the one-hour chart, BTC/USD is trading within the symmetrical triangle chart pattern. Decreasing...

Just choose your coin and be an expert!
#crypto #trading

CHECK https://t.co/Gm1Mua8CwN https://t.co/0TBhQMkuBv"
1515601211122229248,VeryCryptoNerd,2022-04-17 08:01:01+00:00,"📊 #crypto Stats 📊

#Bitcoin = $40309
#Ethereum = $3039.8
#Tether = $1.001
#BNB = $414.14
#USD_Coin = $0.998227
#XRP = $0.779164
#Solana = $101.93
#Cardano = $0.946743
#Terra = $81.4
#Avalanche = $77.56 https://t.co/AjUEub3Bda"
1515601127462559745,BalanceOt,2022-04-17 08:00:41+00:00,"YOUR PRIVATE TRADING ASSISTANT 🚀

#AI look at hourly charts $XMR #XMR

According to the one-hour chart, BTC/USD is trading within the symmetrical triangle chart pattern. Decreasing...

Just choose your coin and be an expert!
#crypto #trading

CHECK https://t.co/Gm1Mua8CwN https://t.co/VvFZVfFxrC"
1515600974609625088,bitcoinabyss,2022-04-17 08:00:05+00:00,"USD Coin (USDC) is now more than $1!
#BitcoinAbyssX10 #USDCoin #crypto #cryptocurrency"
1515598123887955971,TickerTop,2022-04-17 07:48:45+00:00,"1: Bitcoin price is $40293.61 (-0.17% 1h)
2: Ethereum price is $3036.82 (-0.18% 1h)
3: Tether price is $1.00 (-0.01% 1h)
4: BNB price is $414.08 (-0.27% 1h)
5: USD Coin price is $1.00 (0.03% 1h)
11: Dogecoin price is $0.14 (-0.20% 1h)"
1515597067271385088,HSchendera,2022-04-17 07:44:33+00:00,"$USDC: World’s Largest Asset Manager With $9.5 Trillion AUM Interested in USD Coin: NYC-based BlackRock Inc., which is the world’s top asset management firm with around $9.5 trillion in total assets under management (AUM) as of 30 September 2021… https://t.co/y1NHI7qhQi https://t.co/piIa3KoGw6"
