id,handle,created_at,text
1524846915313188888,DogeTeslaToken,2022-05-12 20:20:09+00:00,"I’m giving $25,000 in #BNB    or $eth to the first 3900 people who follows and retweets!!

Drop your #ETH wallet address https://t.co/6x9OfCOicG"
1524846853707005953,ctalerts7,2022-05-12 20:19:54+00:00,"2,001 #BTC (57,582,515 USD)
☀️ #Gemini to Wallet
https://t.co/AJ0Y5jNIKV

#BTC  28,644.92    #ETH  1,937.81
#BNB  269.70    #SOL  44.57
F&amp;G Index:  12  (+0)
Trends:  $LUNA $SOL $PAXG $WBTC $TRX
#Bitcoin"
1524846847851831298,ctalerts7,2022-05-12 20:19:53+00:00,"893 #BTC (25,514,780 USD)
☀️ Wallet to #Xapo
https://t.co/FWGvAHsgl9

#BTC  28,644.92    #ETH  1,937.81
#BNB  269.70    #SOL  44.57
F&amp;G Index:  12  (+0)
Trends:  $LUNA $SOL $PAXG $WBTC $TRX
#Bitcoin"
1524846824057892864,satyasen987,2022-05-12 20:19:47+00:00,"$BTC has some potential to gain.
 https://t.co/gruoUiyEXP

$BTC $ETH $ADA $XRP $DOT $KSM $BNB $RUNE $OCEAN  $SHIB https://t.co/b9XfWNyQI7"
1524846764171444229,uunbound,2022-05-12 20:19:33+00:00,"@milesdeutscher with 50x dilution that would put $LUNA market cap at 44b, just behind $BNB as the sixth large cap coin. I am afraid that seems impossible."
1524846749172793344,Huntercityx99,2022-05-12 20:19:29+00:00,@CryptoNFTea_ @refinableapp @Master_BNB @GameFi_Official @PlayToEarnGames @play2earncrypto @BNBCHAIN @BscProjectOrg awesome project
1524846710198898688,LittleGhostsBot,2022-05-12 20:19:20+00:00,"🚀 LittleGhosts #7129 (rank: 5618) sold for 0.25 BNB ($67) on LG Marketplace! 
Tx: https://t.co/x3Yc4V5VFx 

--- 
#LittleGhosts #EctoSkeletons $ECTO #NFT #BNB $BNB #P2E #BSC #ETH #CRO #FTM #AVAX #MATIC #ONE https://t.co/9UvOt3WQOt"
1524846689420316672,emakbigwin,2022-05-12 20:19:15+00:00,@CryptoNFTea_ @refinableapp @Master_BNB @GameFi_Official @PlayToEarnGames @play2earncrypto @BNBCHAIN @BscProjectOrg Love this one #NFTCommunity #GameFi #P2E 🚀
1524846657040289792,westcoastraised,2022-05-12 20:19:07+00:00,@Atari_Force I used PCS and bnb.. doing my part
1524846644692676608,zelovata,2022-05-12 20:19:05+00:00,It's a pleasure to join this rewards program. this is a potential and promising project.  #revenue #revenuecoin #bnb #bitcoin https://t.co/o17F77bqth
1524846637755121689,BNBCoinBurn,2022-05-12 20:19:03+00:00,82400 #BNB (22190385.73 USD) Has Been Burned Since The BEP-95 Real Time Burning Upgrade #BNB #BSC #BEP95 #Binance #bnbchain #BNBCoin #bnbarmy #bnbtothemoon - Follow Us For Updates
1524846635293065234,everrisewatcher,2022-05-12 20:19:02+00:00,"#EverRise $RISE

$0.000542 🔴 -11.8%
$38.8M Market Cap -11.8%
54107 Hodlrs -0.1%

$0.000581 (#Eth) 🔴 -16.2%
$0.000569 (#BNB) 🔴 -8.8%
$0.000519 (#Polygon) 🔴 -14.7%
$0.000479 (#Ftm) 🔴 -9.4%
$0.000524 (#Avax) 🔴 -6.6%

0.202% Burn
$23.3M Staked TVL

$3.5M LP
$685.7k Buyback https://t.co/VUszB4Ruoz"
1524846594994192391,gospelferdinan1,2022-05-12 20:18:53+00:00,"So I convinced my old folks to invest in #crypto as some retirement backup

Great son! They did! Then came #Cryptocrash 

Voila! My phone been buzzing since yesterday  and I guarantee I do be dead if I picked that call

#JusticeForDeborah #Sokoto #BTC #BNB #BSC #LUNA #HODL"
1524846564409327623,Ricky87615776,2022-05-12 20:18:45+00:00,"@StonedBears_NFT Did you know that YieldBox provides Rewards in $YBX and $BUSD that secures the invested tokens and ensure safest and highest returns for token holders.
#BSC  #TITANO #LIBERA #SAFUU #AUTOSTAKING #BUSD #Binance  #BSCGem  #NFT #BNB https://t.co/pTwh3dIpne"
1524846548256968724,Crypto_Public_,2022-05-12 20:18:42+00:00,"Marathon. cash is First Race2earn using Metaverse and GPS utility !!!
Follow Us: https://t.co/b51FeM5Psk
#Marathoncash #movetoearn #runtoearn #mobileapp #BSC #BNB #VR #GMT #Binance #STEPN #stepn #BSCGem #m2e #R2E https://t.co/gnVP4Blwqr"
1524846542062256128,satyasen987,2022-05-12 20:18:40+00:00,"$BTC has some potential to gain..  
https://t.co/gruoUiyEXP

$BTC $ETH $ADA $XRP $DOT $KSM $BNB $RUNE $OCEAN  $WAVES https://t.co/YxxlZFFaWr"
1524846526379352064,itslilliiee,2022-05-12 20:18:36+00:00,I just booked the cutest Air Bnb  😍
1524846505701560347,21000000Bitcoin,2022-05-12 20:18:31+00:00,"$SXP: A $200M market cap owned by no other than #Binance.

Could look like it has lost it last support, but I don’t fully agree.

Might be worth looking at in 2022 at some point.

___
@SXP $BNB #Altcoin #Altseason #Altseason2022 https://t.co/PUnbLSgfKW"
1524846505227603977,Crypto_Public_,2022-05-12 20:18:31+00:00,"Marathon. cash is First Race2earn using Metaverse and GPS utility !!!
Follow Us: https://t.co/b51FeM5Psk
#Marathoncash #movetoearn #runtoearn #mobileapp #BSC #BNB #VR #GMT #Binance #STEPN #stepn #BSCGem #m2e #R2E https://t.co/CsFgyNFhsS"
1524846373572595716,ninjaft_feed,2022-05-12 20:18:00+00:00,NITIN MOTWANI 6959 redeemed 0.0057 BNB from the NinjaFT App! #playtoearn #nft #crypto #bnbchain https://t.co/bhc0ALPDbB
1524846298616111104,raingump,2022-05-12 20:17:42+00:00,@KounotoriToken Great job @KounotoriToken team! So proud to be a part of this #community! #KTO #Bitcoin #ETH #BNB #BSC https://t.co/wucKQGJCcu
1524846234074238998,Ricky87615776,2022-05-12 20:17:27+00:00,"Did you know that YieldBox provides Rewards in $YBX and $BUSD that secures the invested tokens and ensure safest and highest returns for token holders.
#BSC  #TITANO #LIBERA #SAFUU #AUTOSTAKING #BUSD #Binance  #BSCGem  #NFT #BNB https://t.co/H8fggWemEK"
1524846171499417605,LittleDope85,2022-05-12 20:17:12+00:00,"For those who still don’t know @RichardHeartWin..this is a tweet from 1 year ago..! Meditate People.. instead of following fake influencers on YouTube..

#Bitcoin #Ethereum #BNB #CRO #ADA #LUNA #MATIC #Solana #SHIB #Dogecoin #Hexicans #TeamWin #DeFi #Cryptocrash #cryptocurrency https://t.co/Zl1kCHxoxF"
1524846121721266177,yimingAIR1,2022-05-12 20:17:00+00:00,"New gem #Aircoin 💎 
Low market cap ✅ Big potential 🚀
⚡
@AirCoinreal
🚀
$AIR project is shining like a 💎 in crypto world ⚡🚀

More info:
https://t.co/WwQZrJumGH

#AIR #AirCash #AirCoinDAOLabs #AirChain #AirSwap #BTC  #DEFI  #BNB  #Presale #100xGems #BSCGem #BSCGems #BSC https://t.co/fJFvDdWMLd"
1524846018340311040,OxiDeFi,2022-05-12 20:16:35+00:00,"3rd #Bitcoin crash I warned about less that 3 days in advance.

If only I could predict stablecoin crashes just as well.
All that foresight didn't save me from $UST disaster.

Always diversify.

#BTC $BTCUSD $BTC $BNB $ETH $ADA $DOT $BAT https://t.co/ufh2wmyM33 https://t.co/wZ6z9eMsPW"
1524845947238264833,BABY__MOCHI__,2022-05-12 20:16:18+00:00,@CryptoNFTea_ @refinableapp @Master_BNB @GameFi_Official @PlayToEarnGames @play2earncrypto @BNBCHAIN @BscProjectOrg Nice project sir🖤🤍
