id,handle,created_at,text
1524846877228810240,JobPreference,2022-05-12 20:20:00+00:00,"NEED a #JOB?
Sign up now https://t.co/o7lVlsl75X
FREE. NO MIDDLEMEN
#Robotics #AIEthics #MachineLearning #AI #Python #DataScience #BigData #100DaysOfCode #Robots #fintech #insurtech #Bitcoin #cybersecurity #blockchain #coding #Cryptos #NFTGame #Jobs #Metaverse #Bitcoin #ETH #SOL https://t.co/UcPurpxGAQ"
1524846866164334617,E10SAM,2022-05-12 20:19:57+00:00,@REDlester_22 “Buy bitcoin dickhead”
1524846863861661717,OrganaCapital,2022-05-12 20:19:57+00:00,"📌 339.900% #profit signal!

1 $ETH TO JOIN OUR VIP CHANNEL 12 MONTHS + 📌🚀🧞 339.900% #trading profit signal as a welcome gift! ❤️🔥🧞🚀✨

Mark my words!

SEND DM RIGHT NOW!

#Crypto #trading #Bitcoin #makemoneyonline https://t.co/UL7eFkan3f"
1524846862557233171,WaghornJ,2022-05-12 20:19:56+00:00,"@shandiferous @murderface79 @MoonroverPro @terra_money Lol there’s only one true crypto currency and that’s BTC, i play with that from back in 2010 😂 Luna is just another shit coin to flip like all the rest. The sooner people realise this the sooner bitcoin can do what it was built for"
1524846861684641793,thetradebro,2022-05-12 20:19:56+00:00,"If #Bitcoin drops to 20k, I'll be happy to buy some. Seems too good to be true but, this market is full of surprises..."
1524846860787191809,ALJVD1,2022-05-12 20:19:56+00:00,Might even take us to 4200 $SPY at which point I’ll get a million SEE BRO #BITCOIN IS BACK messages.
1524846858853568512,youhodl_bitcoin,2022-05-12 20:19:56+00:00,"YouHODL bought another 60 #Bitcoin    at an average USD price of $28,567

We now #HODL 8,042 #BTC                                                                       
10% of this amount is invested with #cloudmining pool @b1pool

#crypto
#cryptocurrency
#BitcoinWhale"
1524846855393226752,Aqloe5,2022-05-12 20:19:55+00:00,@goldseek @APompliano @danheld I hold gold and Bitcoin. No bias. Very very glad I listened to Bitcoiners and not Schiff. Zoom out.
1524846855221387264,RikkoCee,2022-05-12 20:19:55+00:00,@TheSketchySmile The Code Book and Bitcoin standard work well together. I think Confessions Of Economic Hitman will make a good third.
1524846855146045442,TealetTea,2022-05-12 20:19:55+00:00,"Broadcasting 6

05:02 -
ItAllLinedUp
TeaTastic

05:04 -
CoolCats!

05:07 -
SmartCookie

#Pococha x Bitcoin
https://t.co/LySF0QocEc"
1524846853707005953,ctalerts7,2022-05-12 20:19:54+00:00,"2,001 #BTC (57,582,515 USD)
☀️ #Gemini to Wallet
https://t.co/AJ0Y5jNIKV

#BTC  28,644.92    #ETH  1,937.81
#BNB  269.70    #SOL  44.57
F&amp;G Index:  12  (+0)
Trends:  $LUNA $SOL $PAXG $WBTC $TRX
#Bitcoin"
1524846853266804736,StackorStarvDJS,2022-05-12 20:19:54+00:00,The latest The Money Daily! https://t.co/dh35R4g2OJ Thanks to @robertjoseph #bitcoin #crypto
1524846850494414858,NasirDanAdam,2022-05-12 20:19:54+00:00,Please Any Bitcoin investor here. Let’s join our hands and cry together 🥲😢😭
1524846849181745152,parul0173,2022-05-12 20:19:53+00:00,"@CryptoGemsCom Am buying more $FBT of 
@fibitpro

#Fibitproexchange enables buy or sell #Bitcoin and other #cryptos in real time, 24/7 with only max $1 or 0.1% fees whichever is less. https://t.co/xsWK26CcbX"
1524846847851831298,ctalerts7,2022-05-12 20:19:53+00:00,"893 #BTC (25,514,780 USD)
☀️ Wallet to #Xapo
https://t.co/FWGvAHsgl9

#BTC  28,644.92    #ETH  1,937.81
#BNB  269.70    #SOL  44.57
F&amp;G Index:  12  (+0)
Trends:  $LUNA $SOL $PAXG $WBTC $TRX
#Bitcoin"
1524846845926817807,CoinDesk,2022-05-12 20:19:53+00:00,"MARKET WRAP: Altcoins are starting to underperform, especially $ETH vs. $BTC. Analysts expect more volatility because of stablecoin risks.
https://t.co/ngJyzM3OrG"
1524846837848588304,malicio030,2022-05-12 20:19:51+00:00,"Let’s be honest … 

lost a hell lot of money in the last months for holding shitcoins and believing that they come back if #bitcoin goes ahead … looking back a very bad decision, will sell them if we get a little push after this hardcore #dump and then go #short in #altcoins"
1524846826486374400,sweetburgercom,2022-05-12 20:19:48+00:00,"#bitcoin Block #736108 : 1456579 bytes, 2681 transactions, 6.50859871BTC($185,577) reward
            
For more information, visit https://t.co/3EUQjCEbrW"
1524846820542885888,0xn4rk,2022-05-12 20:19:46+00:00,How are your longs doing? $ETH $BTC #Bitcoin https://t.co/mF5Zqit2y8 https://t.co/oqr5I4RGyp
1524846815119654925,Chickab05580077,2022-05-12 20:19:45+00:00,@EllieFrost What is a bitcoin? Sounds made up
1524846810669498386,BitcoinNYSC,2022-05-12 20:19:44+00:00,"Bitcoin’s hashrate has observed significant growth in 2022 so far, setting a new ATH. Here’s how much each of the largest #mining companies have been adding to this increase.

https://t.co/1nFvo0CBSV"
1524846808509431823,ScarceCityBot,2022-05-12 20:19:44+00:00,"🚨  New bid for Lightning Bitcoin - 1 of 2 and 2 of 2 by @Bigdaddybit78 🚨

⚡ 4 mins, 59 secs remaining ⚡
https://t.co/1J1axNtvUU"
1524846808316252160,ddustntwigg,2022-05-12 20:19:44+00:00,@kevinwhyte87 But it's fine to lose money in stocks? You obviously have no clue what Bitcoin even is.
1524846807368581135,Hayeknowledge,2022-05-12 20:19:43+00:00,Its a philosophy.  Don't leave your #Bitcoin on exchanges because they'll fractional reserve your ownership.  Keep them honest by removing your coins. https://t.co/K3kuhCcXIE
1524846801882435584,SamGrittner,2022-05-12 20:19:42+00:00,"It's called BitCoin because, if you're lucky, you'll end up with a bit of coins (mostly nickels and pennies)."
1524846801366532101,Otherside_a999,2022-05-12 20:19:42+00:00,@OtIhersideMeta The second wave is coming! @soojoo66 @AlCapon34 @lf_4674 @rahmanrawdra02 @SGrolms @Hougebuwukong @0hmygil @Bitcoin_Buxton @oooA_ria @questfiofficial @KelvinSamuelma1 @DOIT011 @D_Martinez_eth @althecollector
1524846791111458857,RealCarlAllen,2022-05-12 20:19:39+00:00,"@RigelOrionBeta @TheKitastrophe @TheDCSentinel @SilvermanJacob Are you saying I can't send Bitcoin nearly instantly for nearly free to people across the globe even if they don't have a bank account, or even if I don't have a bank account, or if my assets aren't liquid?

You said Bitcoin has ""zero practical use cases""

Admit you were wrong"
