id,handle,created_at,text
1524847020401369089,hephaistos_nft,2022-05-12 20:20:34+00:00,"""God of War"" in Fun ancient god club
Link in bio

#nfts #nft #nftart #nftcommunity #nftcollector #nftartist #crypto #digitalart #art #ethereum #opensea #nftcollectors #blockchain #nftdrop #nftcollectibles #openseanft #nftcollection #cryptoartist #nftartists #eth #nftartgallery https://t.co/0O3yVjEPa6"
1524846985102213163,Nftgivetime,2022-05-12 20:20:26+00:00,"Blue Beams Ape 1725 bought for 250ETH (≈ $588,883) an hour ago🔥🔥

New owner is n0b0dy.eth who also bought Otherdeed with Mega Koda today for 155ETH🥳

-

#nfts #nft #digitalart #art #cryptoart #artist #raredigitalart #ethereum #artoftheday #cryptoartist #blockchain https://t.co/jQ7i3R0UlK"
1524846982539493377,NFTPaws,2022-05-12 20:20:25+00:00,"🚨Really just want someone to enjoy this, we priced it lower then the cost to mint .0001 ETH. 

Enjoy! 😍

Check out Yorkie By Paws 24K #313 on @Coinbase_NFT https://t.co/h7LwaQ0uJl 

#Coinbase #CoinbaseNFT #Airdrops #NFTGiveaways #NFTartists #NFTCommunity #NFT #ETH"
1524846944115474433,crypto_nautas,2022-05-12 20:20:16+00:00,@0xDonPepe XD another Ethereum copycat https://t.co/tXcT7ZbMZo
1524846916806361105,Hilde87501830,2022-05-12 20:20:09+00:00,It amazes me that because something is expensive then it must be good #Ethereum. That the cool people are on this chain then it must be good #Solana. I’ll stick with the chain that just works and is built to tackle real investments because that’s all that matters #Algorand
1524846890344665089,Nft3T,2022-05-12 20:20:03+00:00,"Top NFT Volume by Sales(in last 10 mins):
Collection: ENS: Ethereum Name Service
Floor Price/Market Cap: 0.00/258315.21
Total Volume: 15.88
Total Sales/Owners: 38/381552
Twitter Link: https://t.co/wJt5xJ0Khd
https://t.co/2OqX3I3znQ"
1524846876289290240,2Cryptonian,2022-05-12 20:20:00+00:00,"@elonmusk @slashdot Brooo... Send me an Ethereum... It will be amazing to recieve it...#eth address&gt;&gt;&gt;

0xa61b74146dB149c69dBAd2856B3b74AA3C0460FB"
1524846870903799808,DrAlexanderGrey,2022-05-12 20:19:58+00:00,"I've just created ""Green Mask"" collectible! https://t.co/a8F8cIlte7 #rarible #ethereum #nonfungible #digitalasset #nft via @rarible"
1524846849135460370,ibookery,2022-05-12 20:19:53+00:00,"Walkfivemiles found #ethereum in a Blue vault at this location! Join me playing #coinhuntworld, It's awesome! https://t.co/Jyr3lV1StD #cryptocurrency #376258 https://t.co/a0i0VBLoAw"
1524846844731215872,CryptoZaff,2022-05-12 20:19:52+00:00,"Zaffron found #ethereum in a User vault at this location! Join me playing #coinhuntworld, It's awesome! https://t.co/xhRPO6Mv1Z #cryptocurrency #36421 https://t.co/fcx5fYzRIU"
1524846837450129410,Nftgivetime,2022-05-12 20:19:50+00:00,"These two kings 👑 bought past 24 hours🔥

Ape 4218 bought for 147 WETH (≈ $338,998). 

Mutant floor: 21.5 ETH
Ape floor: 102.5 ETH

-

#nfts #nft #digitalart #art #cryptoart #artist #raredigitalart #ethereum #artoftheday #cryptoartist #blockchain #contemporaryart #nftcollector https://t.co/nqckgLDlME"
1524846801597218820,IfeanyiAzubui18,2022-05-12 20:19:42+00:00,"I took a Short on #Ethereum #Crypto down to $1,600

#FinvueNetwork 🔥 https://t.co/TaL018TqgX https://t.co/bKWP8wTpeR"
1524846801236508680,ETHGasPriceBot,2022-05-12 20:19:42+00:00,Slow 20.1 | Normal 35 | Fast 109 | Instant 144 👈 current Ethereum gas prices in gwei. DM me a price and I will DM you as soon as gas drops below that price 👍 #Ethereum #GasPrice #ETHGasPrice #ETH
1524846775777083412,wkimcnl,2022-05-12 20:19:36+00:00,Breaking news:  https://t.co/Ws4QyeS7R8 #BTC #Crypto #Binance #Altcoins #ADA #Sand #Doge #Luna #Bitcoinpump #dogecoin #FTM #Cardano #PlanB #Uniswap #Sushiswap #xrp #NFT #Solana #SOL #shiba #Ethereum #Cryptocurrency #Ether #Etherium #Bitcoin #Bullrun  #cryptonews  #ALGO #Ma
1524846773063368729,chikey06,2022-05-12 20:19:35+00:00,Looking to buy some more #NFTartwork #shillme  #tezos #Ethereum #NFTCommunity #NFTshill
1524846743036346383,SkullEric83,2022-05-12 20:19:28+00:00,"CyptoKing found #ethereum in a User vault at this location! Join me playing #coinhuntworld, It's awesome! https://t.co/cJHr0Vtauu #cryptocurrency #53680 https://t.co/P6HBXsb7Mh"
1524846733460750356,9f3hf03n_n4r930,2022-05-12 20:19:26+00:00,"AAX gives you a 50 USDT reward,Come and get it: (seriously not a clickbait)
https://t.co/qWKiNRvXUR 
#crypto #bitcoin #btc #binance #exchange #solana #avax #aave #ethereum $shib $floki $doge $elon $btc $eth $etc $ufo $defi !"
1524846706780786688,coffeepotsarah,2022-05-12 20:19:19+00:00,"smgisme found #ethereum in a Blue vault at this location! Join me playing #coinhuntworld, It's awesome! https://t.co/CQRYYRyL3J #cryptocurrency #348653 https://t.co/zO7cXf4M2b"
1524846702439579653,TGCIstudios,2022-05-12 20:19:18+00:00,"DeFi: A New Financial System Free of Systemic Control

https://t.co/Q1hTmgGit8

#crypto #bitcoin #cryptocurrency #blockchain #ethereum #btc #forex #trading #money #cryptonews #cryptotrading #bitcoinmining #cryptocurrencies #investing #eth #investment #bitcoinnews #bitcoins #nft"
