id,handle,created_at,text
1524846978424881174,ecodeathmarch,2022-05-12 20:20:24+00:00,"“Ellen’s tether, the Queen of England” 

😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂"
1524846961966432275,Elias_Tommy,2022-05-12 20:20:20+00:00,Trust tether or let it ride..?
1524846940265103371,andersason,2022-05-12 20:20:15+00:00,"Not surprised
Crypto industry shaken as Tether’s dollar peg snaps https://t.co/eJazKjDXm0"
1524846918962233382,obaidalda,2022-05-12 20:20:10+00:00,"@StarfoxFlagship @APESTRONG420 @GoldTelegraph_ It's all fake, not so different from tether's assets behind the stablecoin.

One shouldn't trust either of them, hold your wealth in bitcoin."
1524846907125907488,ether_stella,2022-05-12 20:20:07+00:00,@HodlMagoo Are you in this tether space? They said they were able to service a couple billion dollars of redemptions in the past day or 2 and I’m curious to your thoughts on the matter.
1524846902520557568,Crypto_Pep_,2022-05-12 20:20:06+00:00,"@BruczDehart @SalsaTekila Not tether, ust."
1524846882471673856,CryptoSlate,2022-05-12 20:20:01+00:00,"Tether claims they were ready for this bank run

https://t.co/eAAt7Z3kqu

(via @akibablade) $USDT @Tether_to @paoloardoino #Stablecoins #Interview"
1524846849374289921,Elena66883,2022-05-12 20:19:53+00:00,@Crypto900911 Lol what are you drinking dude? If tether crashes it’s gonna be an very ugly domino effect across markets
1524846830793768969,JoWeb5,2022-05-12 20:19:49+00:00,"@MatchasmMatt @EmmetPeppers ETH and BTC are actually very easy ""to kill"". Tether has not done an audit and is unbacked unless proven otherwise. The Tether collapse will take down ETH and BTC. Many software engineers have been warning of this for some time. How much trust do you have in Tether management?"
1524846735326969856,Elena66883,2022-05-12 20:19:26+00:00,@ladyinfinance Lol what are you drinking dude? If tether crashes it’s gonna be an very ugly domino effect across markets
1524846726368182293,baretini,2022-05-12 20:19:24+00:00,"@MarkGutman9 Tether: It is backed. 
Also Tether: No audit.
…
…
*prints another billion."
1524846690427191306,dliedtka,2022-05-12 20:19:15+00:00,"The implosion of the TerraUSD stablecoin kindled wide-spread panic in the crypto space. But 24 hours later, things have calmed down significantly. https://t.co/5hfYKDXTcr via @markets @VildanaHajric"
1524846681518489604,ViaSapientis,2022-05-12 20:19:13+00:00,"@NeroDB 100% on board with better accessibility options for vision/hearing. I also think the buff/debuff timers are an interesting possible QoL upgrade, but future content will need to be adjusted to reflect that. Imagine a raid leader calling tether breaks during P4S Curtain Call..."
1524846648433577985,HeiressLady,2022-05-12 20:19:05+00:00,Tether Loses Peg to US Dollar as Crypto Bank Run Escalates! https://t.co/oe41CLs7OO
1524846620990488597,MktsInsider,2022-05-12 20:18:59+00:00,Janet Yellen says risks related to stablecoins are 'growing very rapidly' but they're not yet a real threat to financial stability https://t.co/os1xJ30aSB
1524846619274792961,Darky999,2022-05-12 20:18:58+00:00,"“In last 24 hours the smallest redemption was $100k, and the largest $600m; all processed with no problems”

@paoloardoino 

CTO Tether on Spaces right now…

https://t.co/3SRuQScPQK"
1524846604813058056,kerikukral,2022-05-12 20:18:55+00:00,Tether Sinks Below $1 in Nightmare Scenario for Bitcoin https://t.co/aT29uCDdhJ
1524846565487263746,jayme_seu,2022-05-12 20:18:46+00:00,"@terra_money lol.. can you imagine when , @DOJCrimDiv , @FBI , @IRS_CI unveil the empty bank accounts of the nebulous tether foundation which has billions issued and is  backed by thin air in some offshore .... better get a ticket to hide in mars @paoloardoino 

#usdtdepeg 
#USDT 
#USDTether"
1524846412080500744,Bret_Hoy,2022-05-12 20:18:09+00:00,"@AltcoinPsycho I agree, but there’s still a Tether sized bubble waiting to burst. Especially if we get any new regulation, and at this point anti-regulation folks are nuts. Both regulation and a further bubble seem inevitable."
1524846382103810060,balticsbull,2022-05-12 20:18:02+00:00,@Tether_to @paoloardoino Why speak with the known scammer?
1524846346108293136,kryptolinks_de,2022-05-12 20:17:53+00:00,"12.05.2022|https://t.co/LzahgEjfWZ: Untethered: Here’s everything you need to know about TerraUSD, Tether and other stablecoins -&gt; https://t.co/0VCBuQp8R8 @kryptolinks_de #kryptolinks #CryptocurrencyNews"
1524846334901047296,MrHunterGarden1,2022-05-12 20:17:51+00:00,@LindaPJones Tether next
1524846302101504001,DerekTMcKinney,2022-05-12 20:17:43+00:00,🤓🤔👍 #knownews ##blockchain ##cryptocurrency #bitcoin #eth Tether claims they were ready for this bank run Tether https://t.co/VAaGzXGIsy
1524846234518835243,thingsonfire,2022-05-12 20:17:27+00:00,"@MooseAllain As the old saying goes, you can't fit a dollar peg in a stablecoin tether hole"
1524846115929083915,jayme_seu,2022-05-12 20:16:58+00:00,"@CryptoCapo_ @rovercrc @ksicrypto lol.. can you imagine when , @DOJCrimDiv , @FBI , @IRS_CI unveil the empty bank accounts of the nebulous tether foundation which has billions issued and is surely backed by thin air ... lol. better get a ticket to hide in mars @paoloardoino 

#usdtdepeg 
#USDT 
#USDTether"
1524846023037685760,SCPantera,2022-05-12 20:16:36+00:00,"@eigenrobot You need a creative solution for your need to keep your kid nearby and her adrenaline addiction by strapping her to you using a loose enough tether that she swings around only slightly haphazardly

but on second thought this will make the cat situation worse"
1524845975210184717,RodebrechtD,2022-05-12 20:16:25+00:00,@eliz883 Keep that big story for Tether
1524845952057626638,AnadarkoCapital,2022-05-12 20:16:19+00:00,"Listen to the mental gymnastics here to convince people to not hit a lick and force a run on this Monopoly money… 

#teddderrrr #btc #tether  https://t.co/rQ8pURLcLv"
1524845951663603712,jayme_seu,2022-05-12 20:16:19+00:00,"@ksicrypto lol.. can you imagine when , @DOJCrimDiv , @FBI , @IRS_CI unveil the empty bank accounts of the nebulous tether foundation which has billions issued and is surely backed by thin air ... lol. better get a ticket to hide in mars @paoloardoino"
1524845921036554269,x__bamboo,2022-05-12 20:16:12+00:00,"@Ashwini738 @Sahdev9595 @DogecoinRide devs havent left the comm, this isnt a scam scheme,how its called now,it's just a dump.  A plan for the recovery of the token has already been clearly set,most likely Luna will become the only project of the company, it will probably be tied to a tether, which will raise the rate"
1524845882469928968,mxgxw_gamma,2022-05-12 20:16:03+00:00,#Tether hosting an space to explain that funds are #safu https://t.co/8wQMe7mOVp
1524845790363013143,jayme_seu,2022-05-12 20:15:41+00:00,"@shodow_hunter @Tether_to lol.. can you imagine when , @DOJCrimDiv , @FBI , @IRS_CI unveil the empty bank accounts of the nebulous tether foundation which has billions issued and is surely backed by thin air ... lol. better get a ticket to hide in mars @paoloardoino"
1524845743365836829,jayme_seu,2022-05-12 20:15:30+00:00,"@Tether_to lol.. can you imagine when , @DOJCrimDiv , @FBI , @IRS_CI unveil the empty bank accounts of the nebulous tether foundation which has billions issued and is surely backed by thin air ... lol. better get a ticket to hide in mars @paoloardoino"
1524845733546971136,meta_crunch,2022-05-12 20:15:27+00:00,Tether claims they were ready for this bank run https://t.co/z4hy2Gmk2Z
1524845718778925061,cryptoalerted,2022-05-12 20:15:24+00:00,Tether claims they were ready for this bank run #crypto #bitcoin #cryptocurrency #btc #ethereum #blockchain #eth #trading #altcoin #binance #cryptonews  https://t.co/l2rdMIS2T7
1524845673715224578,AbiWilks,2022-05-12 20:15:13+00:00,"I understand what Tether is because I ask my husband what story he was working on one time, so I can confidently say it’s not supposed to do this"
1524845669252362240,cryptokapreo,2022-05-12 20:15:12+00:00,@saylor Like and retweet this tweet if you know about PayBolt @PayBoltOfficial $LUNA #terraluna #Tether #LUNAtic #PayBolt #PayBolt4biz
1524845648507416577,RoboticsAINews,2022-05-12 20:15:07+00:00,"Lugano Ties Its Crypto City Dream to Tether 

https://t.co/KnJhRGHwGi
#roboticsainews #ai #artificialintelligence #digitaltransformation #technology #futurework #engineering #automation #crypto https://t.co/TRfjGAcvQq"
1524845617213804544,NukeItDaddy,2022-05-12 20:15:00+00:00,@tk_crypt0 @iamnotacatgme @icebergy_ High school economics leaves out a lot of complexities about floating currencies that most of y’all can’t be fucked to learn about and that’s not my problem. UST clearly wasn’t backed well enough and you don’t know what’s backing tether either…of ya USD and USD debt 🤡
1524845562796855301,Cosmosaic2012,2022-05-12 20:14:47+00:00,"@CryptoWhale At 3:19 AM this morning, both Tether reached $0.95 and Bitcoin reached as low as $26,350...hmm..."
1524845560502571054,punishedlime,2022-05-12 20:14:46+00:00,"@Lefty_Jew Fiat currencies derive their value from the labour of their country, what productive value would back this type of crypto?

You could probably make one like tether pegged to a real currency tho"
1524845537551339542,DemApples00,2022-05-12 20:14:41+00:00,"#Bitcoin   MOTHER OF CRASHES TO $12-$15K 💩💩

#Crypto is broken #LUNA #UST #Tether STABLECOIN BACKED BY 💩💩 💩💩

#Bitcoin  #Apple #Link  #ADA #XRP  #cryptocurrency #Blockchain #Grayscale #LTC #DOGE #Dogecoin #litecoin #BCH #Polkadot #ElonMusk  #Paypal #ETH #Tesla #Twitter https://t.co/CMItIw7H0F"
1524845340544880646,beranewsnetwork,2022-05-12 20:13:54+00:00,Tether almost back to normal. https://t.co/d7cHAAgxw5
1524845327655784460,tundemason,2022-05-12 20:13:51+00:00,tether seems to have stabilized
1524845325071966208,oddynz,2022-05-12 20:13:50+00:00,"@MikeSmith_10X I hope tether dies, tether is an affront"
1524845301630128131,damiendamien,2022-05-12 20:13:44+00:00,@hendry_hugh Would this mean a BTC exit pump? As if you don’t want to hold Tether and can’t convert it to USD what do you buy?
1524845282143391762,BusinessFamous,2022-05-12 20:13:40+00:00,"@ashwsbreal Everyone knows Tether is garbage and they're paying to get out before it ""Luna's"""
1524845263126417420,Simon___Wood,2022-05-12 20:13:35+00:00,@maxkeiser So they can prop up Tether...
1524845247729127438,interested_mr,2022-05-12 20:13:31+00:00,@Frankhrinkanic how u feelin about Matic and Tether?
1524845235653726214,BitKrow,2022-05-12 20:13:29+00:00,@gaborgurbacs @Excellion @Tether_to @paoloardoino @adam3us @Arnab_Naskarr 5 more mins I'll have that shake machine up again. Make it 10.
1524845223536369664,cryptob3nder,2022-05-12 20:13:26+00:00,"Is Tether next in line for an attack?
#NET #USDT 

https://t.co/RfWqeELieS"
1524845180695760927,cryptoburnertwt,2022-05-12 20:13:15+00:00,"@AltcoinPsycho same from the specific standpoint that Tether FUD has to finally be dead from this point on. If it didn’t break this week, it’s a pillar."
1524845117395324942,pranasnadi,2022-05-12 20:13:00+00:00,@tackettzane Ironic that you find the Bitlicense to be “extremely restrictive”. What part exactly? Books and records? Capital Requirements? AML/KYC? Or Reports and financial disclosures? Madoff operated under the similar rules but Tether can’t? https://t.co/d07ZypVB4R
1524845108738281473,FrankOnaissi,2022-05-12 20:12:58+00:00,"@AlyseKilleen I wish @LynAldenContact could give her honest opinion on the dangers of Tether.. most Bitcoin maximalists brush this off , reason why I stopped following them..even Preston Pysh unfortunately turned a blind eye to Tether"
1524845102606209038,tk_crypt0,2022-05-12 20:12:57+00:00,@NukeItDaddy @iamnotacatgme @icebergy_ Bruh. Learn how economics and money works first. Youre comparing apples to fishes. UST was backed so is Tether but FIAT isnt. Learn what peg is.
1524845069437612032,cryptokapreo,2022-05-12 20:12:49+00:00,"@100trillionUSD I am bullish on Paybolt, are you? Check @PayBoltOfficial $LUNA #terraluna #Tether #LUNAtic #PayBolt #PayBolt4biz"
1524845023036067853,pablo_heman,2022-05-12 20:12:38+00:00,"So the real #btc  price went down to 24k, @Tether_to , get your shit together, eh? #BitcoinCrash #crypto #stocks https://t.co/antpC53khz"
1524845016547479557,CoachMontes24,2022-05-12 20:12:36+00:00,"@SpiralSupreme @B34RB453DG0D @unusual_whales Wow your reading comprehension skills are way off. 

All I meant was TETHER better watch out, because the government will love to take them out. 

YELLEN has made some harsh statements lately. 

If they are hoarding bonds as liquidity, they should keep it hushed. 

That's all."
1524844941058396161,Cosmosaic2012,2022-05-12 20:12:18+00:00,"At 3:19 AM this morning, both Tether reached $0.95 and Bitcoin reached as low as $26,350...hmmm..."
1524844888948363270,TmorrowsPapers,2022-05-12 20:12:06+00:00,Friday's FT: Tether's peg to the dollar snaps as 'fragile' stablecoin market takes hit #TomorrowsPapersToday #FinancialTimes #FT https://t.co/HU9loU8zYM
1524844838356668419,TrueNorthMinute,2022-05-12 20:11:54+00:00,"@AltcoinPsycho This needed to happen. I'm worried about the Tether peg. 
I got smashed by the Luna crash but it's part of the game. 

This kind of crash is ultimately good. Not for LUNA/UST holders or for market stability but I think that it can drive some pure speculators away &amp; that's a +"
1524844691975458827,____m000n____,2022-05-12 20:11:19+00:00,@nic__carter I like tether in theory I’m just sketched that it’s fractional reserve lending built on commercial paper which itself is an industry on fire
1524844684492820483,Maverick_XRP,2022-05-12 20:11:17+00:00,@Tether_to Trolling Tether 😂 https://t.co/o786Ylh2oB
1524844679551930392,arusselltech,2022-05-12 20:11:16+00:00,"@deLisserRobin Remember the #scam Triad?

#tether #TRON #btc 

Well, after pointing out that the #scam Triad has purchased emojis, tether decided to remove it😂🤣😂"
1524844641677365278,AllieHBNews,2022-05-12 20:11:07+00:00,Friday’s FINANCIAL Times: “Tether’s peg to the dollar snaps as ‘fragile’ stablecoin market takes hit” #TomorrowsPapersToday https://t.co/ur5eKhibBj
